family,n,seed,field,A,logA,r_star
B3_periodic,2,0,linear,0.05011872336272722,-1.3,0.2
B3_periodic,2,0,linear,0.05559042572704037,-1.255,0.2
B3_periodic,2,0,linear,0.06165950018614822,-1.21,0.2
B3_periodic,2,0,linear,0.06839116472814293,-1.165,0.2
B3_periodic,2,0,linear,0.07585775750291836,-1.12,0.2
B3_periodic,2,0,linear,0.08413951416451952,-1.075,0.2
B3_periodic,2,0,linear,0.0933254300796991,-1.03,0.2
B3_periodic,2,0,linear,0.10351421666793438,-0.985,0.2
B3_periodic,2,0,linear,0.1148153621496883,-0.94,0.2
B3_periodic,2,0,linear,0.12735030810166617,-0.895,0.2
B3_periodic,2,0,linear,0.14125375446227545,-0.85,0.2
B3_periodic,2,0,linear,0.15667510701081488,-0.805,0.2
B3_periodic,2,0,linear,0.17378008287493754,-0.76,0.2
B3_periodic,2,0,linear,0.1927524913190936,-0.715,0.2
B3_periodic,2,0,linear,0.2137962089502232,-0.67,0.2
B3_periodic,2,0,linear,0.23713737056616552,-0.625,0.2
B3_periodic,2,0,linear,0.2630267991895382,-0.58,0.2
B3_periodic,2,0,linear,0.29174270140011666,-0.535,0.2
B3_periodic,2,0,linear,0.32359365692962827,-0.49,0.2
B3_periodic,2,0,linear,0.3589219346450052,-0.445,0.2
B3_periodic,2,0,linear,0.39810717055349726,-0.39999999999999997,0.2
B3_periodic,2,0,linear,0.4415704473533125,-0.355,0.2
B3_periodic,2,0,linear,0.4897788193684462,-0.31,0.2
B3_periodic,2,0,linear,0.5432503314924332,-0.265,0.2
B3_periodic,2,0,linear,0.6025595860743578,-0.21999999999999997,0.2
B3_periodic,2,0,linear,0.6683439175686147,-0.17499999999999996,0.2
B3_periodic,2,0,linear,0.7413102413009175,-0.13,0.2
B3_periodic,2,0,linear,0.8222426499470711,-0.08500000000000003,0.2
B3_periodic,2,0,linear,0.9120108393559098,-0.03999999999999999,0.2
B3_periodic,2,0,linear,1.0115794542598986,0.005000000000000029,0.2
B3_periodic,2,0,linear,1.1220184543019633,0.04999999999999996,0.2
B3_periodic,2,0,linear,1.244514611771385,0.09499999999999997,0.2
B3_periodic,2,0,linear,1.3803842646028848,0.13999999999999999,0.2
