family,n,E0,seed,min_level_action,max_level_action,max_rel_dev_from_E0,total_action,total_action_target,peak_ratio_min,peak_ratio_max,deltaV
B3_periodic,6,0.16666666666666666,0,0.16666666406249925,0.16666666406250025,1.5625004456953917e-8,0.9999999843749987,1.0,1.5,1.5,1.0000000000000009
B7_cantor,6,0.16666666666666666,0,0.1666666640624992,0.16666666406250025,1.5625004790020824e-8,0.9999999843749987,1.0,1.5,1.5,1.0000000000000002
B4_random,6,0.16666666666666666,1,0.16666666406249922,0.16666666406250025,1.562500462348737e-8,0.9999999843749987,1.0,1.5,1.5,1.0000000000000007
B5_shuffled,6,0.16666666666666666,1,0.1666666640624992,0.16666666406250025,1.5625004790020824e-8,0.9999999843749987,1.0,1.5,1.5,1.0000000000000002
B6_center_anchored,6,0.16666666666666666,1,0.16666666406249922,0.16666666406250025,1.562500462348737e-8,0.9999999843749987,1.0,1.5,1.5,1.0000000000000002
B1_constant,7,0.14285714285714285,0,0.0,0.9999999843750016,5.999999890625012,0.9999999843750016,1.0,1.5,1.5,1.0
B2_central,7,0.14285714285714285,0,0.0,0.9999999843749952,5.9999998906249665,0.9999999843749952,1.0,1.5,1.5,1.0
B3_periodic,7,0.14285714285714285,0,0.14285714062499824,0.14285714062500038,1.5625012256270665e-8,0.9999999843749978,1.0,1.4999999999999998,1.5000000000000002,1.000000000000002
B7_cantor,7,0.14285714285714285,0,0.14285714062499827,0.14285714062500035,1.5625012061981636e-8,0.9999999843749978,1.0,1.4999999999999998,1.5000000000000002,1.0000000000000009
B4_random,7,0.14285714285714285,1,0.14285714062499827,0.14285714062500032,1.5625012061981636e-8,0.9999999843749978,1.0,1.4999999999999998,1.5000000000000002,1.0000000000000018
B5_shuffled,7,0.14285714285714285,1,0.14285714062499824,0.14285714062500032,1.5625012256270665e-8,0.9999999843749977,1.0,1.4999999999999998,1.5000000000000002,1.0000000000000007
B6_center_anchored,7,0.14285714285714285,1,0.14285714062499824,0.14285714062500038,1.5625012256270665e-8,0.9999999843749978,1.0,1.4999999999999998,1.5000000000000002,1.0000000000000009
B1_constant,8,0.125,0,0.0,0.9999999843750016,6.999999875000013,0.9999999843750016,1.0,1.5,1.5,1.0
B2_central,8,0.125,0,0.0,0.9999999843749952,6.999999874999961,0.9999999843749952,1.0,1.5,1.5,1.0
B3_periodic,8,0.125,0,0.1249999980468744,0.12499999804687517,1.5625004845531976e-8,0.9999999843749987,1.0,1.5,1.5,1.0
B7_cantor,8,0.125,0,0.1249999980468744,0.12499999804687514,1.5625004845531976e-8,0.9999999843749985,1.0,1.5,1.5,1.0
B4_random,8,0.125,1,0.1249999980468744,0.12499999804687517,1.5625004845531976e-8,0.9999999843749988,1.0,1.5,1.5,1.0
B5_shuffled,8,0.125,1,0.12499999804687441,0.12499999804687517,1.5625004734509673e-8,0.9999999843749987,1.0,1.5,1.5,1.0
B6_center_anchored,8,0.125,1,0.1249999980468744,0.12499999804687514,1.5625004845531976e-8,0.9999999843749986,1.0,1.5,1.5,1.0
