family,n,E0,r,field,potential
B7_cantor,6,0.16666666666666666,0.8085,0.9002148750000006,0.7655898879791668
B7_cantor,6,0.16666666666666666,0.80855,0.9011191387500003,0.7656349213371043
B7_cantor,6,0.16666666666666666,0.8086,0.9020215800000004,0.7656799998626668
B7_cantor,6,0.16666666666666666,0.80865,0.9029221987500001,0.7657251234647293
B7_cantor,6,0.16666666666666666,0.8087,0.9038209950000001,0.7657702920521667
B7_cantor,6,0.16666666666666666,0.80875,0.9047179687499998,0.7658155055338542
B7_cantor,6,0.16666666666666666,0.8088,0.90561312,0.7658607638186667
B7_cantor,6,0.16666666666666666,0.80885,0.9065064487499996,0.7659060668154792
B7_cantor,6,0.16666666666666666,0.8089,0.9073979549999998,0.7659514144331667
B7_cantor,6,0.16666666666666666,0.80895,0.9082876387499994,0.7659968065806042
B7_cantor,6,0.16666666666666666,0.809,0.9091755000000012,0.7660422431666668
B7_cantor,6,0.16666666666666666,0.80905,0.9100615387500014,0.7660877241002293
B7_cantor,6,0.16666666666666666,0.8091,0.9109457550000012,0.7661332492901668
B7_cantor,6,0.16666666666666666,0.80915,0.9118281487500013,0.7661788186453543
B7_cantor,6,0.16666666666666666,0.8092,0.9127087200000009,0.7662244320746668
B7_cantor,6,0.16666666666666666,0.80925,0.9135874687500011,0.7662700894869793
B7_cantor,6,0.16666666666666666,0.8093,0.9144643950000008,0.7663157907911669
B7_cantor,6,0.16666666666666666,0.80935,0.915339498750001,0.7663615358961043
B7_cantor,6,0.16666666666666666,0.8094,0.9162127800000005,0.7664073247106667
B7_cantor,6,0.16666666666666666,0.80945,0.9170842387500007,0.7664531571437293
B7_cantor,6,0.16666666666666666,0.8095,0.9179538750000003,0.7664990331041668
B7_cantor,6,0.16666666666666666,0.80955,0.9188216887500005,0.7665449525008543
B7_cantor,6,0.16666666666666666,0.8096,0.9196876800000002,0.7665909152426668
B7_cantor,6,0.16666666666666666,0.80965,0.9205518487500004,0.7666369212384793
B7_cantor,6,0.16666666666666666,0.8097,0.921414195,0.7666829703971667
B7_cantor,6,0.16666666666666666,0.80975,0.9222747187500001,0.7667290626276042
B7_cantor,6,0.16666666666666666,0.8098,0.9231334199999998,0.7667751978386668
B7_cantor,6,0.16666666666666666,0.80985,0.9239902987499999,0.7668213759392293
B7_cantor,6,0.16666666666666666,0.8099,0.9248453549999996,0.7668675968381667
B7_cantor,6,0.16666666666666666,0.80995,0.9256985887499997,0.7669138604443543
B7_cantor,6,0.16666666666666666,0.81,0.9265500000000017,0.7669601666666668
B7_cantor,6,0.16666666666666666,0.81005,0.9273995887500012,0.7670065154139794
B7_cantor,6,0.16666666666666666,0.8101,0.9282473550000014,0.7670529065951668
B7_cantor,6,0.16666666666666666,0.81015,0.9290932987500009,0.7670993401191043
B7_cantor,6,0.16666666666666666,0.8102,0.9299374200000012,0.7671458158946668
B7_cantor,6,0.16666666666666666,0.81025,0.9307797187500009,0.7671923338307293
B7_cantor,6,0.16666666666666666,0.8103,0.931620195000001,0.7672388938361668
B7_cantor,6,0.16666666666666666,0.81035,0.9324588487500007,0.7672854958198543
B7_cantor,6,0.16666666666666666,0.8104,0.9332956800000008,0.7673321396906668
B7_cantor,6,0.16666666666666666,0.81045,0.9341306887500005,0.7673788253574793
B7_cantor,6,0.16666666666666666,0.8105,0.9349638750000007,0.7674255527291668
B7_cantor,6,0.16666666666666666,0.81055,0.9357952387500004,0.7674723217146042
B7_cantor,6,0.16666666666666666,0.8106,0.9366247800000005,0.7675191322226668
B7_cantor,6,0.16666666666666666,0.81065,0.93745249875,0.7675659841622293
B7_cantor,6,0.16666666666666666,0.8107,0.9382783950000003,0.7676128774421668
B7_cantor,6,0.16666666666666666,0.81075,0.9391024687499998,0.7676598119713542
B7_cantor,6,0.16666666666666666,0.8108,0.9399247200000002,0.7677067876586667
B7_cantor,6,0.16666666666666666,0.81085,0.9407451487499997,0.7677538044129792
