family,n,seed,ell,P,W
B4_random,2,17,0.3333,2.2499999997858597,0.09469103669817858
B4_random,2,18,0.002,0.0,0.0
B4_random,2,18,0.005,0.0,0.0
B4_random,2,18,0.01,0.0,0.0
B4_random,2,18,0.02,0.0,0.0
B4_random,2,18,0.05,0.0,0.0
B4_random,2,18,0.1,0.0,0.0
B4_random,2,18,0.2,0.0,0.0
B4_random,2,18,0.3333,0.0,0.0
B4_random,2,19,0.002,0.0,0.0
B4_random,2,19,0.005,0.0,0.0
B4_random,2,19,0.01,0.0,0.0
B4_random,2,19,0.02,0.0,0.0
B4_random,2,19,0.05,0.0,0.0
B4_random,2,19,0.1,0.0,0.0
B4_random,2,19,0.2,0.0,0.0
B4_random,2,19,0.3333,2.2499999999955773,0.24080378697063032
B4_random,2,20,0.002,0.0,0.0
B4_random,2,20,0.005,0.0,0.0
B4_random,2,20,0.01,0.0,0.0
B4_random,2,20,0.02,0.0,0.0
B4_random,2,20,0.05,0.0,0.0
B4_random,2,20,0.1,0.0,0.0
B4_random,2,20,0.2,0.0,0.0
B4_random,2,20,0.3333,1.4902100264583034,0.06758110500544079
B4_random,2,21,0.002,0.0,0.0
B4_random,2,21,0.005,0.0,0.0
B4_random,2,21,0.01,0.0,0.0
B4_random,2,21,0.02,0.0,0.0
B4_random,2,21,0.05,0.0,0.0
B4_random,2,21,0.1,0.0,0.0
B4_random,2,21,0.2,0.6278812816554372,0.0034711903292707347
B4_random,2,21,0.3333,2.249999999599874,0.25
B4_random,2,22,0.002,0.0,0.0
B4_random,2,22,0.005,0.0,0.0
B4_random,2,22,0.01,0.0,0.0
B4_random,2,22,0.02,0.0,0.0
B4_random,2,22,0.05,0.0,0.0
B4_random,2,22,0.1,0.0,0.0
B4_random,2,22,0.2,0.13402469343405254,0.0004148440123972752
B4_random,2,22,0.3333,2.062416367287092,0.1679696990825018
B4_random,2,23,0.002,0.0,0.0
B4_random,2,23,0.005,0.0,0.0
B4_random,2,23,0.01,0.0,0.0
B4_random,2,23,0.02,0.0,0.0
B4_random,2,23,0.05,0.0,0.0
B4_random,2,23,0.1,0.0,0.0
B4_random,2,23,0.2,0.4929192356257596,0.005929609366425337
B4_random,2,23,0.3333,2.166635235647496,0.20491412232063888
B4_random,2,24,0.002,0.0,0.0
B4_random,2,24,0.005,0.0,0.0
B4_random,2,24,0.01,0.0,0.0
B4_random,2,24,0.02,0.0,0.0
B4_random,2,24,0.05,0.0,0.0
B4_random,2,24,0.1,0.0,0.0
B4_random,2,24,0.2,0.0,0.0
B4_random,2,24,0.3333,1.6181999242972986,0.08308412020329792
B5_shuffled,2,1,0.002,0.0,0.0
B5_shuffled,2,1,0.005,0.0,0.0
B5_shuffled,2,1,0.01,0.0,0.0
B5_shuffled,2,1,0.02,0.0,0.0
B5_shuffled,2,1,0.05,0.0,0.0
B5_shuffled,2,1,0.1,0.0,0.0
B5_shuffled,2,1,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,1,0.3333,2.2499999995999995,0.25
B5_shuffled,2,2,0.002,0.0,0.0
B5_shuffled,2,2,0.005,0.0,0.0
B5_shuffled,2,2,0.01,0.0,0.0
B5_shuffled,2,2,0.02,0.0,0.0
B5_shuffled,2,2,0.05,0.0,0.0
B5_shuffled,2,2,0.1,0.0,0.0
B5_shuffled,2,2,0.2,1.556194297499998,0.07524819047343745
B5_shuffled,2,2,0.3333,2.2500000000000004,0.25
B5_shuffled,2,3,0.002,0.0,0.0
B5_shuffled,2,3,0.005,0.0,0.0
B5_shuffled,2,3,0.01,0.0,0.0
B5_shuffled,2,3,0.02,0.0,0.0
B5_shuffled,2,3,0.05,0.0,0.0
B5_shuffled,2,3,0.1,0.0,0.0
B5_shuffled,2,3,0.2,1.556194297499999,0.07524819047343745
B5_shuffled,2,3,0.3333,2.25,0.25
B5_shuffled,2,4,0.002,0.0,0.0
B5_shuffled,2,4,0.005,0.0,0.0
B5_shuffled,2,4,0.01,0.0,0.0
B5_shuffled,2,4,0.02,0.0,0.0
B5_shuffled,2,4,0.05,0.0,0.0
B5_shuffled,2,4,0.1,0.0,0.0
B5_shuffled,2,4,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,4,0.3333,2.2499999995999995,0.25
B5_shuffled,2,5,0.002,0.0,0.0
B5_shuffled,2,5,0.005,0.0,0.0
B5_shuffled,2,5,0.01,0.0,0.0
B5_shuffled,2,5,0.02,0.0,0.0
B5_shuffled,2,5,0.05,0.0,0.0
B5_shuffled,2,5,0.1,0.0,0.0
B5_shuffled,2,5,0.2,1.556194297499998,0.07524819047343745
B5_shuffled,2,5,0.3333,2.2500000000000004,0.25
B5_shuffled,2,6,0.002,0.0,0.0
B5_shuffled,2,6,0.005,0.0,0.0
B5_shuffled,2,6,0.01,0.0,0.0
B5_shuffled,2,6,0.02,0.0,0.0
B5_shuffled,2,6,0.05,0.0,0.0
B5_shuffled,2,6,0.1,0.0,0.0
B5_shuffled,2,6,0.2,1.556194297499999,0.07524819047343745
B5_shuffled,2,6,0.3333,2.25,0.25
B5_shuffled,2,7,0.002,0.0,0.0
B5_shuffled,2,7,0.005,0.0,0.0
B5_shuffled,2,7,0.01,0.0,0.0
B5_shuffled,2,7,0.02,0.0,0.0
B5_shuffled,2,7,0.05,0.0,0.0
B5_shuffled,2,7,0.1,0.0,0.0
B5_shuffled,2,7,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,7,0.3333,2.2499999996000004,0.25
B5_shuffled,2,8,0.002,0.0,0.0
B5_shuffled,2,8,0.005,0.0,0.0
B5_shuffled,2,8,0.01,0.0,0.0
B5_shuffled,2,8,0.02,0.0,0.0
B5_shuffled,2,8,0.05,0.0,0.0
B5_shuffled,2,8,0.1,0.0,0.0
B5_shuffled,2,8,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,8,0.3333,2.2499999996000004,0.25
B5_shuffled,2,9,0.002,0.0,0.0
B5_shuffled,2,9,0.005,0.0,0.0
B5_shuffled,2,9,0.01,0.0,0.0
B5_shuffled,2,9,0.02,0.0,0.0
B5_shuffled,2,9,0.05,0.0,0.0
B5_shuffled,2,9,0.1,0.0,0.0
B5_shuffled,2,9,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,9,0.3333,2.2499999995999995,0.25
B5_shuffled,2,10,0.002,0.0,0.0
B5_shuffled,2,10,0.005,0.0,0.0
B5_shuffled,2,10,0.01,0.0,0.0
B5_shuffled,2,10,0.02,0.0,0.0
B5_shuffled,2,10,0.05,0.0,0.0
B5_shuffled,2,10,0.1,0.0,0.0
B5_shuffled,2,10,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,10,0.3333,2.2499999996000004,0.25
B5_shuffled,2,11,0.002,0.0,0.0
B5_shuffled,2,11,0.005,0.0,0.0
B5_shuffled,2,11,0.01,0.0,0.0
B5_shuffled,2,11,0.02,0.0,0.0
B5_shuffled,2,11,0.05,0.0,0.0
B5_shuffled,2,11,0.1,0.0,0.0
B5_shuffled,2,11,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,11,0.3333,2.2499999996000004,0.25
B5_shuffled,2,12,0.002,0.0,0.0
B5_shuffled,2,12,0.005,0.0,0.0
B5_shuffled,2,12,0.01,0.0,0.0
B5_shuffled,2,12,0.02,0.0,0.0
B5_shuffled,2,12,0.05,0.0,0.0
B5_shuffled,2,12,0.1,0.0,0.0
B5_shuffled,2,12,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,12,0.3333,2.2499999996000004,0.25
B5_shuffled,2,13,0.002,0.0,0.0
B5_shuffled,2,13,0.005,0.0,0.0
B5_shuffled,2,13,0.01,0.0,0.0
B5_shuffled,2,13,0.02,0.0,0.0
B5_shuffled,2,13,0.05,0.0,0.0
B5_shuffled,2,13,0.1,0.0,0.0
B5_shuffled,2,13,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,13,0.3333,2.2499999995999995,0.25
B5_shuffled,2,14,0.002,0.0,0.0
B5_shuffled,2,14,0.005,0.0,0.0
B5_shuffled,2,14,0.01,0.0,0.0
B5_shuffled,2,14,0.02,0.0,0.0
B5_shuffled,2,14,0.05,0.0,0.0
B5_shuffled,2,14,0.1,0.0,0.0
B5_shuffled,2,14,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,14,0.3333,2.2499999996000004,0.25
B5_shuffled,2,15,0.002,0.0,0.0
B5_shuffled,2,15,0.005,0.0,0.0
