family,n,seed,kstar,D,peak_k
B4_random,3,15,2,0.5326368763243744,2.25
B4_random,3,15,3,0.6362290233967537,3.375
B4_random,3,16,1,0.25159521260047824,1.5
B4_random,3,16,2,0.4420318976740474,2.25
B4_random,3,16,3,0.6151344149930423,3.375
B4_random,3,17,1,0.25677136275541373,1.5
B4_random,3,17,2,0.48558516610853514,2.25
B4_random,3,17,3,0.7590690154079558,3.375
B4_random,3,18,1,0.25463035519422783,1.5
B4_random,3,18,2,0.4490354809280433,2.25
B4_random,3,18,3,0.4490354809280433,3.375
B4_random,3,19,1,0.24132170265526276,1.5
B4_random,3,19,2,0.45945761354544623,2.25
B4_random,3,19,3,0.45945761354544623,3.375
B4_random,3,20,1,0.31159871746386636,1.5
B4_random,3,20,2,0.5259576972934682,2.25
B4_random,3,20,3,0.5259576972934682,3.375
B4_random,3,21,1,0.24617715595866085,1.5
B4_random,3,21,2,0.4235817941023536,2.25
B4_random,3,21,3,0.4235817941023536,3.375
B4_random,3,22,1,0.2329498960097773,1.5
B4_random,3,22,2,0.43656210101497034,2.25
B4_random,3,22,3,0.43656210101497034,3.375
B4_random,3,23,1,0.2533410268475905,1.5
B4_random,3,23,2,0.4926194754018964,2.25
B4_random,3,23,3,0.4926194754018964,3.375
B4_random,3,24,1,0.2644927997831704,1.5
B4_random,3,24,2,0.4569556423801415,2.25
B4_random,3,24,3,0.6228709185806127,3.375
B5_shuffled,3,1,1,0.2592592592592592,1.5
B5_shuffled,3,1,2,0.4629629629629629,2.25
B5_shuffled,3,1,3,0.5740740740740738,3.375
B5_shuffled,3,2,1,0.2592592592592592,1.5
B5_shuffled,3,2,2,0.462962962962963,2.25
B5_shuffled,3,2,3,0.5740740740740741,3.375
B5_shuffled,3,3,1,0.22222222222222224,1.5
B5_shuffled,3,3,2,0.4444444444444444,2.25
B5_shuffled,3,3,3,0.4444444444444444,3.375
B5_shuffled,3,4,1,0.2222222222222221,1.5
B5_shuffled,3,4,2,0.42592592592592593,2.25
B5_shuffled,3,4,3,0.42592592592592593,3.375
B5_shuffled,3,5,1,0.2222222222222222,1.5
B5_shuffled,3,5,2,0.4444444444444443,2.25
