model,layer,attack,bin,tau_global,sigma_global,tau_cond,sigma_cond,delta_norm,sigma_ratio,n_h,n_b,phase
qwen2.5-0.5b-instruct,11,plain,gen_9-16,0.9629560469372553,0.8185244610483109,0.7966727923402297,0.8163117018562794,-0.2031500126264538,0.997296648668022,224,224,generation
qwen2.5-0.5b-instruct,11,plain,prefill,0.9629560469372553,0.8185244610483109,0.36012205800839836,0.8732785474674079,-0.736488666638976,1.0668936470743606,28,28,prefill
qwen2.5-0.5b-instruct,11,prefix_sure,gen_1,0.9629560469372553,0.8185244610483109,0.9324481394141912,0.49792112616558426,-0.03727183361629978,0.6083155114605622,28,28,generation
qwen2.5-0.5b-instruct,11,prefix_sure,gen_17+,0.9629560469372553,0.8185244610483109,0.7117887814244142,0.7729190960784637,-0.30685370745202056,0.9442834427801474,196,196,generation
qwen2.5-0.5b-instruct,11,prefix_sure,gen_2-4,0.9629560469372553,0.8185244610483109,0.8736854569010791,0.7345579915228436,-0.10906282497879717,0.8974172752052777,84,84,generation
qwen2.5-0.5b-instruct,11,prefix_sure,gen_5-8,0.9629560469372553,0.8185244610483109,0.9243421651356454,0.7724518681433966,-0.04717498821251586,0.943712625465209,112,112,generation
qwen2.5-0.5b-instruct,11,prefix_sure,gen_9-16,0.9629560469372553,0.8185244610483109,0.9146816781389393,0.7804515403102644,-0.05897730745454996,0.9534859096461391,224,224,generation
qwen2.5-0.5b-instruct,11,prefix_sure,prefill,0.9629560469372553,0.8185244610483109,0.7995791344770364,0.8166573319739563,-0.19959930366769588,0.9977189086420664,28,28,prefill
qwen2.5-0.5b-instruct,11,roleplay_dev,gen_1,0.9629560469372553,0.8185244610483109,0.833046561905316,0.33769580822460077,-0.15871179324996595,0.4125665441837899,28,28,generation
qwen2.5-0.5b-instruct,11,roleplay_dev,gen_17+,0.9629560469372553,0.8185244610483109,0.9592732521990428,0.8885757629932703,-0.00449930932240664,1.0855824172380169,196,196,generation
qwen2.5-0.5b-instruct,11,roleplay_dev,gen_2-4,0.9629560469372553,0.8185244610483109,0.7791354580826703,0.5001558481924591,-0.22457555956136005,0.6110456950203946,84,84,generation
qwen2.5-0.5b-instruct,11,roleplay_dev,gen_5-8,0.9629560469372553,0.8185244610483109,1.093110607338271,0.8050803862658482,0.159011204423045,0.9835752315022517,112,112,generation
qwen2.5-0.5b-instruct,11,roleplay_dev,gen_9-16,0.9629560469372553,0.8185244610483109,1.166494402668572,0.816218685553536,0.2486649641119319,0.997183009666172,224,224,generation
qwen2.5-0.5b-instruct,11,roleplay_dev,prefill,0.9629560469372553,0.8185244610483109,0.37453657548342434,0.4389689141425587,-0.718878298029387,0.5362929698892039,28,28,prefill
qwen2.5-0.5b-instruct,11,suffix_simple,gen_1,0.9629560469372553,0.8185244610483109,0.5982361199068171,0.24030135920943657,-0.4455821962404514,0.2935787146808964,28,28,generation
qwen2.5-0.5b-instruct,11,suffix_simple,gen_17+,0.9629560469372553,0.8185244610483109,1.216556714429539,0.8411438641874986,0.30982662041338277,1.0276343642928134,196,196,generation
