control,metric,n,n_conditions,mean_delta,median_delta,ci_lo,ci_hi,frac_delta_pos,mean_pct_rank,mean_effect_size
G4_central,D_mean,5,225,0.0015644160316676812,0.0,-0.0005216978808178032,0.00324873994549385,0.3688888888888889,54.888888888888886,NaN
G4_central,D_mean,6,225,0.0024639156496101718,0.0,0.0003125766879890661,0.004090127387075971,0.4088888888888889,58.888888888888886,NaN
G4_central,D_mean,7,225,0.003512344519884674,0.0,0.0025346995446444923,0.004582827779687522,0.4444444444444444,62.44444444444444,NaN
G4_central,D_mean,8,225,0.0033770210329391215,0.0,0.002502031791683519,0.004387164537749053,0.4533333333333333,63.333333333333336,NaN
G4_central,D_max,1,225,0.0,0.0,0.0,0.0,0.0,50.0,NaN
G4_central,D_max,2,225,-0.06461313518066797,0.0,-0.10949460823750147,-0.02829118341971889,0.08,48.22222222222222,NaN
G4_central,D_max,3,225,-0.065619404816247,0.0,-0.10812318275459062,-0.029901886824677773,0.04,46.888888888888886,NaN
G4_central,D_max,4,225,-0.04289983288201492,0.0,-0.07773750431007452,-0.015512017078496013,0.057777777777777775,49.77777777777778,NaN
G4_central,D_max,5,225,-0.027237937042873975,0.0,-0.055634732748056415,-0.007110054188673484,0.013333333333333334,48.666666666666664,NaN
G4_central,D_max,6,225,-0.017253498329873093,0.0,-0.041184654255710544,-0.001526346578424472,0.008888888888888889,49.333333333333336,NaN
G4_central,D_max,7,225,-0.0058506975750618395,0.0,-0.01636974307316457,3.317821040192293e-5,0.008888888888888889,49.77777777777778,NaN
G4_central,D_max,8,225,3.2492368130368176e-5,0.0,0.0,9.052656081926082e-5,0.008888888888888889,50.44444444444444,NaN
