n,h0,tau_S,tau_relax,tau_min,faster_than_relax,bound_violated,R_safe
10,0.23,0.5499170556832741,0.6030326865553659,0.06171635577162405,true,false,0.9817
0,0.24,0.151022241420051,0.5558572765768072,0.05587522364738373,true,false,0.2986666666666667
1,0.24,0.15160077717265538,0.5558572765768072,0.05587522364738373,true,false,0.9949666666666667
2,0.24,0.15160077717265538,0.5558572765768072,0.05587522364738373,true,false,0.9949666666666667
3,0.24,0.2877682926319433,0.5558572765768072,0.05587522364738373,true,false,0.9904333333333334
4,0.24,0.367810006201531,0.5558572765768072,0.05587522364738373,true,false,0.9877666666666667
5,0.24,0.4254823600192204,0.5558572765768072,0.05587522364738373,true,false,0.9858333333333333
6,0.24,0.45456158025571036,0.5558572765768072,0.05587522364738373,true,false,0.9848333333333333
7,0.24,0.466936422755589,0.5558572765768072,0.05587522364738373,true,false,0.9844333333333334
8,0.24,0.4604178756691651,0.5558572765768072,0.05587522364738373,true,false,0.9846333333333334
9,0.24,0.48859513518873754,0.5558572765768072,0.05587522364738373,true,false,0.9837
10,0.24,0.515443751989858,0.5558572765768072,0.05587522364738373,true,false,0.9828333333333333
0,0.25,0.1417810018562345,0.5068313851352054,0.05000666826712401,true,false,0.2986666666666667
1,0.25,0.14191889070799651,0.5068313851352054,0.05000666826712401,true,false,0.9953000000000001
2,0.25,0.14191889070799651,0.5068313851352054,0.05000666826712401,true,false,0.9953000000000001
3,0.25,0.26687177038093196,0.5068313851352054,0.05000666826712401,true,false,0.9911
4,0.25,0.33962068760359504,0.5068313851352054,0.05000666826712401,true,false,0.9887
5,0.25,0.38908610164056556,0.5068313851352054,0.05000666826712401,true,false,0.9870333333333333
6,0.25,0.41567422712142366,0.5068313851352054,0.05000666826712401,true,false,0.9861666666666667
7,0.25,0.4236944104633586,0.5068313851352054,0.05000666826712401,true,false,0.9859000000000001
8,0.25,0.42756733701274174,0.5068313851352054,0.05000666826712401,true,false,0.9857666666666667
9,0.25,0.4358563908670234,0.5068313851352054,0.05000666826712401,true,false,0.9855
10,0.25,0.46517270632142915,0.5068313851352054,0.05000666826712401,true,false,0.9845
0,0.26,0.13197754380909968,0.4558038919848865,0.044110430919450355,true,false,0.2988
1,0.26,0.13232903874259055,0.4558038919848865,0.044110430919450355,true,false,0.9955666666666667
2,0.26,0.13232903874259055,0.4558038919848865,0.044110430919450355,true,false,0.9955666666666667
3,0.26,0.2337207478054543,0.4558038919848865,0.044110430919450355,true,false,0.9922333333333333
4,0.26,0.3040973752907425,0.4558038919848865,0.044110430919450355,true,false,0.9898333333333333
5,0.26,0.34987393839139136,0.4558038919848865,0.044110430919450355,true,false,0.9883666666666666
6,0.26,0.37164957383485875,0.4558038919848865,0.044110430919450355,true,false,0.9876333333333334
7,0.26,0.3810017765419749,0.4558038919848865,0.044110430919450355,true,false,0.9873
8,0.26,0.380842795356712,0.4558038919848865,0.044110430919450355,true,false,0.9873
9,0.26,0.39260064031776726,0.4558038919848865,0.044110430919450355,true,false,0.9869
10,0.26,0.42546201911824344,0.4558038919848865,0.044110430919450355,true,false,0.9858333333333333
0,0.27,0.12148791646576981,0.4026043739613916,0.038186249214579596,true,false,0.29893333333333333
1,0.27,0.12188541616006984,0.4026043739613916,0.038186249214579596,true,false,0.9959666666666667
2,0.27,0.12188541616006984,0.4026043739613916,0.038186249214579596,true,false,0.9959666666666667
3,0.27,0.18625009540144652,0.4026043739613916,0.038186249214579596,true,false,0.9937666666666668
4,0.27,0.2553997488295032,0.4026043739613916,0.038186249214579596,true,false,0.9915
5,0.27,0.3016377061298339,0.4026043739613916,0.038186249214579596,true,false,0.9899666666666668
6,0.27,0.32463905753721933,0.4026043739613916,0.038186249214579596,true,false,0.9891666666666666
7,0.27,0.3303438428524402,0.4026043739613916,0.038186249214579596,true,false,0.9889666666666667
8,0.27,0.3423946184214899,0.4026043739613916,0.038186249214579596,true,false,0.9885666666666667
9,0.27,0.347717566545022,0.4026043739613916,0.038186249214579596,true,false,0.9884333333333334
10,0.27,0.3549799515305189,0.4026043739613916,0.038186249214579596,true,false,0.9881666666666666
0,0.28,0.11014703945755042,0.3470396707478492,0.03223385701427492,true,false,0.2992666666666667
1,0.28,0.11038962056066619,0.3470396707478492,0.03223385701427492,true,false,0.9963
2,0.28,0.11038962056066619,0.3470396707478492,0.03223385701427492,true,false,0.9963
3,0.28,0.1413635478316087,0.3470396707478492,0.03223385701427492,true,false,0.9953000000000001
4,0.28,0.20559464800099414,0.3470396707478492,0.03223385701427492,true,false,0.9931666666666668
5,0.28,0.24747454045024084,0.3470396707478492,0.03223385701427492,true,false,0.9917666666666667
6,0.28,0.2775288135547205,0.3470396707478492,0.03223385701427492,true,false,0.9907666666666667
7,0.28,0.2852590796666431,0.3470396707478492,0.03223385701427492,true,false,0.9905
8,0.28,0.28755077028847037,0.3470396707478492,0.03223385701427492,true,false,0.9904333333333334
