control,n,h0,A,omega,alpha,R_cantor,R_ctrl_mean,R_ctrl_sd,delta,pct_rank
G2_random,2,0.26,0.5,1.0,0.8,0.9898333333333333,0.9876488888888891,0.0020910085438667213,0.0021844444444442113,91.66666666666667
G2_random,3,0.26,0.5,1.0,0.8,0.9887666666666667,0.9867377777777778,0.0016538526560483805,0.002028888888888858,90.0
G2_random,4,0.26,0.5,1.0,0.8,0.9875666666666666,0.9857666666666668,0.0008398138819535283,0.0017999999999998018,100.0
G2_random,5,0.26,0.5,1.0,0.8,0.9867,0.9855688888888889,0.0005030126353945298,0.0011311111111110828,98.33333333333333
G2_random,6,0.26,0.5,1.0,0.8,0.9861000000000001,0.9852533333333333,0.00021165286406259822,0.0008466666666667733,100.0
G2_random,7,0.26,0.5,1.0,0.8,0.9857,0.9851711111111112,0.00011994038536235598,0.000528888888888801,100.0
G2_random,8,0.26,0.5,1.0,0.8,0.9854333333333334,0.9850577777777778,6.889012481895006e-5,0.0003755555555555734,100.0
G2_random,1,0.3,0.5,1.0,0.8,0.9941666666666666,0.8916266666666666,0.15970856369652708,0.10254000000000008,65.0
G2_random,2,0.3,0.5,1.0,0.8,0.9941666666666666,0.9932133333333334,0.0008471091250434227,0.0009533333333332505,81.66666666666667
G2_random,3,0.3,0.5,1.0,0.8,0.9941666666666666,0.9929133333333335,0.000676116927474002,0.0012533333333331065,93.33333333333333
G2_random,4,0.3,0.5,1.0,0.8,0.9936333333333334,0.992948888888889,0.0005301437189173816,0.0006844444444443765,90.0
G2_random,5,0.3,0.5,1.0,0.8,0.9932333333333333,0.992691111111111,0.00022265092747274793,0.0005422222222223327,96.66666666666667
G2_random,6,0.3,0.5,1.0,0.8,0.9929666666666667,0.9925622222222223,0.00011735701607039514,0.0004044444444443185,100.0
G2_random,7,0.3,0.5,1.0,0.8,0.9927666666666667,0.9925444444444445,6.85556145482013e-5,0.00022222222222223476,100.0
G2_random,8,0.3,0.5,1.0,0.8,0.9927,0.9924866666666667,3.228227987414087e-5,0.00021333333333328763,100.0
G2_random,1,0.34,0.5,1.0,0.8,1.0,0.8356633333333333,0.17959127592111257,0.1643366666666667,73.33333333333333
G2_random,2,0.34,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,3,0.34,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,4,0.34,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,5,0.34,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,6,0.34,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,7,0.34,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,8,0.34,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,1,0.38,0.5,1.0,0.8,1.0,0.8141055555555555,0.1776819613617513,0.18589444444444447,76.66666666666667
G2_random,2,0.38,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
