n,family,scheme,ok,seconds,p95,visited,assertions,bytes
7,learned_minimax_explicit,enumerative,True,6.306249999976643e-05,6.632919999969288e-05,254,888,859
8,cantor_recursive,inductive,True,0.014023853999999947,0.014204618750000408,16,53,952
8,recursive_non_cantor,inductive,True,0.013161979000000379,0.013273191849999888,16,53,957
8,periodic_procedural,enumerative,True,0.00019670800000026745,0.00021957690000009577,510,797,893
8,shuffled_seeded,enumerative,True,0.00019695800000008035,0.00019982485000005212,510,797,889
8,center_anchored_seeded,enumerative,True,0.00019650000000037693,0.00020913560000006547,510,797,903
8,shuffled_explicit,enumerative,True,0.00019666649999994235,0.0002002622000003118,510,797,893
8,learned_minimax_explicit,enumerative,True,0.00012339600000021989,0.00012942720000004291,510,1784,859
9,cantor_recursive,inductive,True,0.014400666999999867,0.014907104350000111,18,59,954
9,recursive_non_cantor,inductive,True,0.013249645999999338,0.01335463344999983,18,59,959
9,periodic_procedural,enumerative,True,0.00038939550000094414,0.00040584550000044567,1022,1569,893
9,shuffled_seeded,enumerative,True,0.0003899795000004147,0.00040752134999983976,1022,1569,889
9,center_anchored_seeded,enumerative,True,0.00038933350000025513,0.00039362500000015286,1022,1569,903
9,shuffled_explicit,enumerative,True,0.00038908299999995677,0.0003938641000006626,1022,1569,893
9,learned_minimax_explicit,enumerative,True,0.00024818750000044076,0.0002514937500001757,1022,3576,859
10,cantor_recursive,inductive,True,0.01468902049999965,0.014825125299999886,20,65,962
10,recursive_non_cantor,inductive,True,0.01337510449999968,0.013554751750000538,20,65,967
10,periodic_procedural,enumerative,True,0.0007801250000003535,0.0008255475500007491,2046,3109,906
10,shuffled_seeded,enumerative,True,0.0007816460000000802,0.0008091349000007853,2046,3109,902
10,center_anchored_seeded,enumerative,True,0.000781625000000119,0.0007907348999991015,2046,3109,916
10,shuffled_explicit,enumerative,True,0.0007845834999997692,0.0008048751500005835,2046,3109,906
10,learned_minimax_explicit,enumerative,True,0.0005052914999996716,0.0005123607499996297,2046,7160,871
11,cantor_recursive,inductive,True,0.014760020999999846,0.014847949849999953,22,71,962
11,recursive_non_cantor,inductive,True,0.013487999499999681,0.013687602300001345,22,71,967
11,periodic_procedural,enumerative,True,0.00156529200000044,0.0016178169999996328,4094,6185,906
11,shuffled_seeded,enumerative,True,0.0015580000000001704,0.0015999975499998876,4094,6185,902
11,center_anchored_seeded,enumerative,True,0.0015634579999996845,0.0016392230999997535,4094,6185,916
11,shuffled_explicit,enumerative,True,0.0015750004999999234,0.0016298248499996503,4094,6185,906
11,learned_minimax_explicit,enumerative,True,0.0010004170000001977,0.0010326753000004629,4094,14328,871
12,cantor_recursive,inductive,True,0.01471222949999973,0.014851954499998854,24,77,962
12,recursive_non_cantor,inductive,True,0.013503895499998642,0.013688412350000245,24,77,967
12,periodic_procedural,enumerative,True,0.003149395999999527,0.0032123892499995145,8190,12333,906
12,shuffled_seeded,enumerative,True,0.003143250000000819,0.003386783300000751,8190,12333,902
12,center_anchored_seeded,enumerative,True,0.0031303955000012706,0.003185787499999204,8190,12333,916
12,shuffled_explicit,enumerative,True,0.0031183334999997925,0.0031660190499997578,8190,12333,906
12,learned_minimax_explicit,enumerative,True,0.002025833500000296,0.0020564286499998195,8190,28664,871
13,cantor_recursive,inductive,True,0.014935750000001136,0.014946100000000583,26,83,962
13,recursive_non_cantor,inductive,True,0.01370604199999903,0.013982191699998836,26,83,967
13,periodic_procedural,enumerative,True,0.006302250000000953,0.006363487800001444,16382,24625,906
13,shuffled_seeded,enumerative,True,0.006344249999999718,0.006362062799999535,16382,24625,902
13,center_anchored_seeded,enumerative,True,0.006352208000000914,0.006355996099999395,16382,24625,916
13,shuffled_explicit,enumerative,True,0.0063083749999997,0.0063684121999999736,16382,24625,906
13,learned_minimax_explicit,enumerative,True,0.004076583999999883,0.004106958999999933,16382,57336,871
14,cantor_recursive,inductive,True,0.015217333000000721,0.01531393269999981,28,89,962
14,recursive_non_cantor,inductive,True,0.0135973749999998,0.013630000000000564,28,89,967
14,periodic_procedural,enumerative,True,0.012787833000000859,0.01281453330000062,32766,49205,913
14,shuffled_seeded,enumerative,True,0.012664667000001018,0.012811066400000648,32766,49205,909
14,center_anchored_seeded,enumerative,True,0.012664250000000266,0.012694324399999424,32766,49205,923
14,shuffled_explicit,enumerative,True,0.012555749999998866,0.012683287199999782,32766,49205,913
14,learned_minimax_explicit,enumerative,True,0.007999959000001056,0.008098471200000113,32766,114680,881
15,cantor_recursive,inductive,True,0.015291124999999184,0.015442887499999714,30,95,962
