b,rho,alpha_field,alpha_sensitivity,gap_width_1,n_components_10,peak_k5,slope_k5,is_cantor
2,0.39,1.2820512820512817,3.2873109796186712,0.21999999999999986,1023,18.42002297168433,14476.682507834808,False
2,0.4,1.2499999999999998,3.1249999999999987,0.19999999999999984,1023,18.310546875,14305.114746093754,False
2,0.41,1.219512195121951,2.974419988102319,0.17999999999999983,1023,18.43161305338043,14494.906015980538,False
2,0.42,1.1904761904761902,2.8344671201814045,0.1599999999999998,1023,18.830165286069082,15128.538653895726,False
2,0.43,1.1627906976744184,2.7041644131963216,0.1399999999999999,1023,19.587067429278783,16369.203647108852,False
2,0.44,1.1363636363636362,2.582644628099173,0.11999999999999988,1023,20.843916484529753,18537.337788332847,False
2,0.45,1.111111111111111,2.4691358024691348,0.09999999999999987,1023,22.862368541380906,22301.350200402063,False
2,0.46,1.0869565217391302,2.362948960302457,0.07999999999999985,1023,26.172786510911582,29227.296159818892,False
2,0.47,1.0638297872340423,2.2634676324128558,0.05999999999999983,1023,32.0205357686292,43746.76099882932,False
2,0.48,1.0416666666666665,2.170138888888888,0.039999999999999813,1023,44.15158872251175,83172.81223346459,False
2,0.49,1.020408163265306,2.0824656393169505,0.019999999999999796,1023,81.31243385504624,282099.7077090675,False
3,0.05,6.666666666666666,133.33333333333331,0.425,59048,3485.838779956426,5249263103.9343815,False
3,0.06,5.5555555555555545,92.59259259259257,0.41,59048,1742.5585778491522,1311772491.6058052,False
3,0.07,4.761904761904762,68.02721088435374,0.395,59048,976.3083166042899,411772865.3585434,False
3,0.08,4.166666666666666,52.08333333333331,0.38,59048,594.8845638401554,152879462.33556613,False
3,0.09,3.7037037037037033,41.15226337448559,0.365,59048,386.6458403751205,64581842.53989353,False
3,0.1,3.333333333333333,33.33333333333333,0.35,59048,264.5502645502645,30234315.948601656,False
3,0.11,3.03030303030303,27.548209366391173,0.33499999999999996,59048,188.78204957575187,15395902.08855335,False
3,0.12,2.7777777777777772,23.148148148148138,0.31999999999999995,59048,139.54082361682663,8411749.10884612,False
3,0.13,2.564102564102564,19.72386587771203,0.305,59048,106.29259157430954,4880785.690187847,False
3,0.14,2.380952380952381,17.006802721088434,0.29,59048,83.11245367644278,2984117.7410433427,False
3,0.15,2.222222222222222,14.814814814814811,0.27499999999999997,59048,66.50870848401709,1910912.3874195698,False
3,0.16,2.083333333333333,13.020833333333327,0.25999999999999995,59048,54.34041688924498,1275644.5521250784,False
3,0.17,1.9607843137254897,11.534025374855819,0.24499999999999994,59048,45.249571887012905,884530.2625738339,False
3,0.18,1.8518518518518516,10.288065843621398,0.22999999999999998,59048,38.34938362416277,635331.6969205841,False
3,0.19,1.7543859649122806,9.23361034164358,0.21499999999999997,59048,33.046341062522195,471770.20409207366,False
3,0.2,1.6666666666666665,8.33333333333333,0.19999999999999996,59048,28.935185185185173,361689.8148148145,False
3,0.21,1.587301587301587,7.558578987150414,0.18499999999999994,59048,25.73518752477108,286113.5468359775,False
3,0.22,1.515151515151515,6.887052341597793,0.16999999999999993,59048,23.25073037054298,233537.67191391395,False
3,0.23,1.4492753623188401,6.301197227473217,0.15499999999999992,59048,21.346820698664615,196856.6777024844,False
3,0.24,1.3888888888888886,5.7870370370370345,0.1399999999999999,59048,19.934403373832385,171668.3491601251,False
3,0.25,1.333333333333333,5.333333333333331,0.12499999999999989,59048,18.962962962962962,155344.59259259258,False
3,0.26,1.2820512820512817,4.9309664694280055,0.10999999999999988,59048,18.42002297168433,146576.4103918275,False
3,0.27,1.2345679012345678,4.572473708276178,0.09499999999999997,59048,18.3399261516464,145304.44901906842,False
3,0.28,1.1904761904761905,4.2517006802721085,0.07999999999999996,59048,18.830165286069075,153176.45387069415,False
3,0.29,1.1494252873563218,3.9635354736424877,0.06499999999999995,59048,20.140530065156916,175236.8909639716,False
3,0.3,1.111111111111111,3.703703703703703,0.04999999999999993,59048,22.862368541380903,225801.17077907082,False
3,0.31,1.0752688172043008,3.4686090877558087,0.03499999999999992,59048,28.6458309611005,354492.12878723984,False
3,0.32,1.0416666666666665,3.2552083333333317,0.019999999999999907,59048,44.15158872251174,842124.7238638289,False
3,0.33,1.01010101010101,3.0609121518212414,0.004999999999999893,59048,156.1530533527857,10533791.262843909,False
4,0.05,5.0,99.99999999999999,0.26666666666666666,1048575,1171.8749999999998,2812499999.999999,False
4,0.06,4.166666666666666,69.44444444444443,0.25333333333333335,1048575,594.8845638401557,724761895.5167586,False
4,0.07,3.571428571428571,51.0204081632653,0.24,1048575,338.94297514924324,235279033.14538604,False
