pid,prompt_sha256,rho,regime,mode,norm,certificate,kind,leaf,direct_terminal_switch,action,q,token1_KL_vs_baseline,token1_top1_change,refusal,refusal_label_change,normalized_token_edit_distance,coherence,degeneration,policy_isolated_KL,policy_isolated_top1_change,policy_isolated_edit_distance,projection_norm,realized_perturbation_norm,coordinate_roundoff
d022ffa1351725be,d022ffa1351725beb16fe6fcf3f33c39b33471212f0d4746a030dca77e1b4825,0.28,absolute_1.1,routed,0.05592648000982467,0.04735406915391874,leaf,3,True,0.5,0.019375398330354406,9.229604661981655e-05,0,0,0,0.0,1.0,0,4.046212734442278e-05,0,0.0,0.4488023025451719,0.05592647315004825,6.861907986266402e-09
ace2a89670af99f4,ace2a89670af99f49e216bbef1205075572f736d8a1d9b64e6605deefb4b4506,0.28,absolute_1.1,routed,0.05592648000982467,0.04735406915391874,leaf,3,True,0.5,0.019375398330354406,0.00010387090668705109,0,1,0,0.0,1.0,0,6.724114562888893e-05,0,0.0,0.16079459280051178,0.05592650509817153,2.5085982013894892e-08
35a5e8785e4ee324,35a5e8785e4ee324410c9a7b827ca83b8126a4848fc498ecd74a3f9b789828af,0.28,absolute_1.1,routed,0.05592648000982467,0.04735406915391874,leaf,3,True,0.5,0.019375398330354406,0.00014532031395775454,0,1,0,0.0,1.0,0,0.00024693779131768594,0,0.0,0.6313918569666823,0.055926489870461504,9.857672567115117e-09
284c6b3ac860173d,284c6b3ac860173d18abac7a9219303a479dd33c54af9439e482101267fcbf76,0.28,absolute_1.1,routed,0.05592648000982467,0.04735406915391874,leaf,3,True,0.5,0.019375398330354406,0.0002374212970080239,0,0,0,0.0,1.0,0,0.00021748396828561212,0,0.0,0.8298720116598246,0.0559264841554771,4.144178222809103e-09
f5dc41e437eebc2a,f5dc41e437eebc2a153a60b00d1aa078db8d19b7c846574d897981dc283f959c,0.28,absolute_1.1,routed,0.05592648000982467,0.04735406915391874,leaf,3,True,0.5,0.019375398330354406,0.0004058739941303711,0,1,0,0.0,1.0,0,0.0002096525980334067,0,0.0,0.026587263117059425,0.05592647084185559,9.1698856841127e-09
6311fc1615cfb6ef,6311fc1615cfb6efd6f13ac7b3a89a32aad8d34adae7e3cc826b2a98690005ee,0.28,absolute_1.1,routed,0.05592648000982467,0.04735406915391874,leaf,3,True,0.5,0.019375398330354406,0.00013511303737898662,0,0,0,0.0,1.0,0,6.548698625427591e-05,0,0.0,0.246716949985801,0.0559264636215832,1.6390257984166823e-08
4aad324bbf186844,4aad324bbf186844d8c5dea733323dd764964c04dd748595fa067957c5328dbe,0.28,absolute_1.1,routed,0.05592648000982467,0.04735406915391874,leaf,3,True,0.5,0.019375398330354406,0.00020144919610854572,0,1,0,0.0,1.0,0,0.0001801123395295964,0,0.0,0.007564167278760002,0.0559264926462095,1.2635040680386567e-08
570a3d740c619063,570a3d740c61906323bba4ee40a75b97a0b16aedd6b879c1b1c042f3d861561a,0.28,absolute_1.1,routed,0.05592648000982467,0.04735406915391874,leaf,3,True,0.5,0.019375398330354406,0.0002822128491063981,0,0,0,0.0,1.0,0,0.0003041740646451312,0,0.0,0.5400937941926824,0.055926488973535395,8.959509634198781e-09
c692e006d71230f1,c692e006d71230f1b36ffa5d5701df242cddd15d6e4976108b50fca031629607,0.28,absolute_1.1,routed,0.05592648000982467,0.04735406915391874,leaf,3,True,0.5,0.019375398330354406,0.00019028462205164764,0,0,0,0.0,1.0,0,0.00020621016914546903,0,0.0,0.9938365280835747,0.05592647433842105,5.674584913073488e-09
145183c38e2be67b,145183c38e2be67ba6892d6bc9e1665258e91ba339a076a667879fb43d3408fc,0.28,absolute_1.1,routed,0.05592648000982467,0.04735406915391874,leaf,3,True,0.5,0.019375398330354406,0.00016597254440564206,0,0,0,0.0,1.0,0,0.00014690222963346467,0,0.0,1.0035542261833217,0.05592647564940586,4.362631256249472e-09
eae84a9144e0b276,eae84a9144e0b2760e9c9f8696887f33d0a1d7457791efef68704bbfcfc7dc75,0.28,absolute_1.1,routed,0.05592648000982467,0.04735406915391874,leaf,3,True,0.5,0.019375398330354406,0.00018298154486992357,0,0,0,0.0,1.0,0,0.0001164602611982528,0,0.0,0.039882453504467084,0.05592649000609021,9.992997540564375e-09
3520a9257c35cecb,3520a9257c35cecbe28031a346294ee587a979461f2a5f7d6ab07b29f3cb992b,0.28,absolute_1.1,locked,0.05592648000982467,0.04735406915391874,leaf,3,True,0.375,0.014531548747765804,0.00018308616687574104,0,0,0,0.0,1.0,0,0.0,0,0.0,0.051853676842220635,0.055926480583734645,5.713594042333625e-10
d022ffa1351725be,d022ffa1351725beb16fe6fcf3f33c39b33471212f0d4746a030dca77e1b4825,0.28,absolute_1.1,locked,0.05592648000982467,0.04735406915391874,leaf,3,True,0.375,0.014531548747765804,0.0001443391099088278,0,0,0,0.0,1.0,0,0.0,0,0.0,0.4488023025451719,0.05592647315004825,6.861907986266402e-09
