rho,centre,eps,pid,safe,eta,C_mean,C_rms,C95,C_max,m_mean,m_std,m_min
0.28,tau_beh,0.0,1e0aaa9737e65d09,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,1ec8063aec61790d,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,ea600ad97c3853cc,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,12e6d91fedc9f71a,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,a17ca48f1ddf4936,0.0092592592592593,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,f8035d7686a6d848,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,62ab78c3727fe475,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,8a9f2bb7c70fdf96,0.008810572687224627,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,92878afbd43de2b7,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,f0bcdb3438d5d6f5,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,d10cf89103054f98,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,d4fd4b573ec4e920,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
