rho,pid,auc
0.3,4910c9193fca9a21,0.001249999999999995
0.3,4a78cd4f429333ac,0.00754574410696302
0.3,4d3a619d3d16b595,0.45136363636363636
0.3,4e12766ab5ee9a6f,0.35127118644067795
0.3,5406f38bad958fff,0.1
0.3,5b6660299c28d21a,0.1048614728865735
0.3,5d8a6dda9c034943,0.0
0.3,6354b26bfd6b0d3b,0.003536240060176215
0.3,663b72de42e74e86,0.001339285714285695
0.3,66eb648c6256c151,0.0019685039370078506
0.3,67f63c1627c03412,0.35506893525135147
0.3,6d1d8e613ece86e7,0.003938301576791985
0.3,6f3466b968e73ba3,0.25503376289229
0.3,71fe74132803f26b,0.0
0.3,76825b753db42030,0.201255230125523
0.3,78001bdfb89f1ad1,0.7
0.3,7b925779bf22fd74,0.005836944419367425
0.3,7be724e7d2299999,0.006709203218371049
0.3,82da82d3e55219a5,0.015789163914593035
0.3,8acfa77cf5234bd4,0.006919596942204525
0.3,9332a9cf5d92314a,0.00427177303726853
0.3,9f60113cec74b0ee,0.0
0.3,a2f68f9c135648a0,0.35
0.3,a3ecb75bd15d05d8,0.1
0.3,a4a471e79162ce6a,0.00132158590308369
0.3,aa0070de67183c08,0.001930501930501925
0.3,aa6bc6d9ff6d7768,0.2
0.3,acd5a3fd547677f6,0.0035833333333333247
0.3,b5124e1b88000bd7,0.00129870129870129
0.3,b62f26029c55da5d,0.10405405405405403
0.3,b7036711cecf282e,0.20365724680599034
0.3,bc83dba623c24f83,0.005049726571603521
0.3,bd981ed06e640944,0.005616094692593734
0.3,c0b0a6fd8196e526,0.35
0.3,c0da6f9a810ac96e,0.001304347826086935
0.3,c4e140c6b10a0649,0.0038209159261790603
0.3,ceab4fde9bc557e9,0.0
0.3,cfd0baecd1304030,0.35
0.3,d437bb99475d3d83,0.0032258064516128998
0.3,df593c445aa37cdd,0.004064070196984635
0.3,e0cbaf79c0d6e3eb,0.1065156794425087
0.3,e3664a91fc92d1d6,0.0043452494096874305
0.3,e55575bab6cd051d,0.1
0.3,eac6ec2b274f3fe8,0.025642837082225683
0.3,eb5cda6e1fe9f6b5,0.2113540947780078
0.3,ecbc64034f374904,0.501219512195122
0.3,f16d6af3f8b8b330,0.45288183777339625
0.3,f2e24c35c5249c8b,0.0038841593189419153
0.3333333333333333,018ccdd70b67d50b,0.20485204551629982
0.3333333333333333,0545ede9161cd87b,0.35
0.3333333333333333,0822110b214bf434,0.14242730567133943
0.3333333333333333,0dbb1e13fa00f0f6,0.35
0.3333333333333333,0e2ca3a9a1e8e218,0.1
0.3333333333333333,101df2256aecf75b,0.1
0.3333333333333333,1717ce53958590ba,0.10956445509415802
0.3333333333333333,1868815d0a7c6716,0.20383164261491254
0.3333333333333333,1991ac094bc47b5a,0.004786444422586555
0.3333333333333333,1e9be34e7c154aee,0.10096153846153846
0.3333333333333333,245b8a2be8abc37e,0.20495539844636462
0.3333333333333333,2982eb379acc1dcf,0.00197689142133584
0.3333333333333333,2a7630b9ddded8d5,0.2
0.3333333333333333,3159f31edc896059,0.00081967213114754
0.3333333333333333,3605a51c50d5daa0,0.0007352941176470499
0.3333333333333333,38e3fe88a50cb3ef,0.0
0.3333333333333333,3a831f177b4c7882,0.001136363636363625
0.3333333333333333,41450c0e975a1c31,0.10337408481834506
0.3333333333333333,4381c0fb4c396040,0.2512145748987854
0.3333333333333333,44e03bc01ee3055a,0.35
0.3333333333333333,47bf27669a8fa08a,0.012381349880685632
0.3333333333333333,486ee1ca9e71adc6,0.0
0.3333333333333333,4910c9193fca9a21,0.001249999999999995
0.3333333333333333,4a78cd4f429333ac,0.007501534548298309
0.3333333333333333,4d3a619d3d16b595,0.35
0.3333333333333333,4e12766ab5ee9a6f,0.35127118644067795
0.3333333333333333,5406f38bad958fff,0.1
0.3333333333333333,5b6660299c28d21a,0.10611670301209652
0.3333333333333333,5d8a6dda9c034943,0.0
0.3333333333333333,6354b26bfd6b0d3b,0.00352426688009959
0.3333333333333333,663b72de42e74e86,0.001339285714285695
0.3333333333333333,66eb648c6256c151,0.0019685039370078506
0.3333333333333333,67f63c1627c03412,0.35506893525135147
0.3333333333333333,6d1d8e613ece86e7,0.003938301576791985
0.3333333333333333,6f3466b968e73ba3,0.2559306238788371
0.3333333333333333,71fe74132803f26b,0.0
0.3333333333333333,76825b753db42030,0.201255230125523
0.3333333333333333,78001bdfb89f1ad1,0.45150000000000007
0.3333333333333333,7b925779bf22fd74,0.0058790319614550005
0.3333333333333333,7be724e7d2299999,0.006654435979137789
0.3333333333333333,82da82d3e55219a5,0.011465992647058807
0.3333333333333333,8acfa77cf5234bd4,0.006964873748131664
0.3333333333333333,9332a9cf5d92314a,0.00515283030599099
0.3333333333333333,9f60113cec74b0ee,0.00214688005353258
0.3333333333333333,a2f68f9c135648a0,0.1
0.3333333333333333,a3ecb75bd15d05d8,0.1
0.3333333333333333,a4a471e79162ce6a,0.00132158590308369
0.3333333333333333,aa0070de67183c08,0.00199203187250995
0.3333333333333333,aa6bc6d9ff6d7768,0.20135746606334842
0.3333333333333333,acd5a3fd547677f6,0.0035833333333333247
0.3333333333333333,b5124e1b88000bd7,0.0013513513513513501
0.3333333333333333,b62f26029c55da5d,0.10405405405405403
0.3333333333333333,b7036711cecf282e,0.20365724680599034
0.3333333333333333,bc83dba623c24f83,0.10424651372019791
0.3333333333333333,bd981ed06e640944,0.005612881841188115
0.3333333333333333,c0b0a6fd8196e526,0.35
0.3333333333333333,c0da6f9a810ac96e,0.0
0.3333333333333333,c4e140c6b10a0649,0.0038209159261790603
0.3333333333333333,ceab4fde9bc557e9,0.00697115384615384
0.3333333333333333,cfd0baecd1304030,0.35
0.3333333333333333,d437bb99475d3d83,0.003125
0.3333333333333333,df593c445aa37cdd,0.0020955662599767854
0.3333333333333333,e0cbaf79c0d6e3eb,0.1
0.3333333333333333,e3664a91fc92d1d6,0.0043452494096874305
0.3333333333333333,e55575bab6cd051d,0.1
0.3333333333333333,eac6ec2b274f3fe8,0.029775971775635707
0.3333333333333333,eb5cda6e1fe9f6b5,0.21129091859542867
0.3333333333333333,ecbc64034f374904,0.501219512195122
0.3333333333333333,f16d6af3f8b8b330,0.20654457130338644
0.3333333333333333,f2e24c35c5249c8b,0.003955714450467055
0.36,018ccdd70b67d50b,0.20543802948052975
0.36,0545ede9161cd87b,0.35
0.36,0822110b214bf434,0.14239509214165696
0.36,0dbb1e13fa00f0f6,0.35
0.36,0e2ca3a9a1e8e218,0.1
0.36,101df2256aecf75b,0.1
0.36,1717ce53958590ba,0.10957199278260021
0.36,1868815d0a7c6716,0.20375531944875008
0.36,1991ac094bc47b5a,0.004786444422586555
0.36,1e9be34e7c154aee,0.1
0.36,245b8a2be8abc37e,0.20494370253993194
0.36,2982eb379acc1dcf,0.00197689142133584
