gate_family,n,beta,h0,A,omega,alpha,gate_at_h0,gate_at_safe_lo,gate_at_safe_hi,gate_at_half,invariance_margin,R_safe,R_safe_rect,tau_S,D_max,D_mean,T_rec,R_gate,h_end
G6_smooth_cantor,3,5.0,0.86,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9641666666666667,0.9641357242850477,1.0746219731094222,0.3711134391659129,0.03298385717885754,1.076,1.0,0.5255153964496673
G6_smooth_cantor,3,5.0,0.9,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9599,0.9598693420438638,1.1014122151672723,0.4064673982829511,0.03457149008762101,1.4060000000000001,1.0,0.5255153964511777
G6_smooth_cantor,3,5.0,0.94,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9566333333333333,0.9566028931404573,1.1313877232735807,0.4419509690756894,0.036163814497813584,1.434,1.0,0.525515396452687
G6_smooth_cantor,3,5.0,0.98,0.5,16.0,0.8,0.9936002984776785,1.0,1.0,1.0,-0.3666666666666667,0.9515,0.9514699020065329,1.4551687769391721,0.48,0.03776040868217439,1.456,0.9999963314729569,0.5255153964541955
G6_smooth_cantor,3,5.0,0.02,1.5,1.0,0.8,0.9936002984776786,1.0,1.0,1.0,-1.3666666666666667,0.09820000000000001,0.09819345376974868,0.4927320838043658,1.1899461803465505,0.7114742577775474,Inf,0.9715169152443984,-0.3488031256803348
G6_smooth_cantor,3,5.0,0.06,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.09860000000000001,0.09859342710485967,0.459437500864044,1.1954043622343413,0.7116131858102503,Inf,0.9714951002415356,-0.34880312567926264
G6_smooth_cantor,3,5.0,0.1,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.09913333333333334,0.09912672488500766,0.423134142754272,1.2008793248640544,0.7117927881897256,Inf,0.9714717090248939,-0.34880312567819
G6_smooth_cantor,3,5.0,0.14,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.09973333333333333,0.09972668488767415,0.3829933061068225,1.2063712763608836,0.7120164979122647,Inf,0.9714477833459726,-0.34880312567711597
G6_smooth_cantor,3,5.0,0.18,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.1004,0.10039330711285914,0.3377339313088219,1.2118802387979075,0.7122882287032702,Inf,0.9714232807371718,-0.3488031256760413
G6_smooth_cantor,3,5.0,0.22,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.10126666666666667,0.10125991600559962,0.28517931700398685,1.217406307085422,0.7126127921620103,Inf,0.9713981955424574,-0.348803125674967
G6_smooth_cantor,3,5.0,0.26,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.10253333333333334,0.1025264982334511,0.22104277115986493,1.2229495181781163,0.7129961904960723,Inf,0.97137242588868,-0.3488031256738924
G6_smooth_cantor,3,5.0,0.3,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.10453333333333334,0.10452636490900606,0.13407117358561646,1.2285099287617844,0.7134458735997494,Inf,0.9713459606555571,-0.3488031256728191
G6_smooth_cantor,3,5.0,0.34,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.10803333333333334,0.1080594627024865,0.0,1.234087563989494,0.7139718803276217,Inf,0.9713187318633799,-0.34880312567174465
G6_smooth_cantor,3,5.0,0.38,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.10696666666666667,0.10699286714219051,0.0,1.2396823977108318,0.7145882663513634,Inf,0.9712906578783362,-0.3488031256706727
G6_smooth_cantor,3,5.0,0.42,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.10583333333333335,0.10585960935937604,0.0,1.2452945689015362,0.715316285742703,Inf,0.9712616366778365,-0.3488031256696016
G6_smooth_cantor,3,5.0,0.46,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.10456666666666667,0.10459302713152456,0.0,1.2509244513057927,0.7161942890038299,Inf,0.9712315711876088,-0.3488031256685309
G6_smooth_cantor,3,5.0,0.5,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.1031,0.10312645823611759,0.0,1.2565714313232696,0.7173346939997362,Inf,0.9712003672699894,-0.34880312566746013
G6_smooth_cantor,3,5.0,0.54,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.10149999999999999,0.10152656489567362,0.0,1.262235378133772,0.7188424831772854,Inf,0.9711678749878326,-0.34880312566639143
G6_smooth_cantor,3,5.0,0.58,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.0997,0.09972668488767415,0.0,1.2679160218938186,0.720349167675719,Inf,0.9711338905993948,-0.34880312566532234
G6_smooth_cantor,3,5.0,0.62,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.09716666666666667,0.0971935204319712,0.0,1.273613337569438,0.7218545639528243,Inf,0.971098253061983,-0.3488031256642542
G6_smooth_cantor,3,5.0,0.66,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.09316666666666666,0.09319378708086128,0.0,1.2793274629505962,0.7233584830979081,Inf,0.971060685141136,-0.3488031256631861
G6_smooth_cantor,3,5.0,0.7,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.08613333333333334,0.08612759149390041,3.923670988165279,1.285057056857167,0.7248608202886173,Inf,0.9710209028919461,-0.3488031256621195
G6_smooth_cantor,3,5.0,0.74,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.08613333333333334,0.08612759149390041,3.9250695148074866,1.2908013213498097,0.7263612124989703,Inf,0.9709784824322093,-0.3488031256610533
G6_smooth_cantor,3,5.0,0.78,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.08606666666666667,0.08606092927138191,3.9264630434203855,1.2965597677012024,0.7278593688648506,Inf,0.9709328396073507,-0.3488031256599892
G6_smooth_cantor,3,5.0,0.82,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.0862,0.08619425371641891,3.9278511165821985,1.3023306208473548,0.729354853310541,Inf,0.9708831278364113,-0.34880312565892835
G6_smooth_cantor,3,5.0,0.86,1.5,1.0,0.8,1.0,1.0,1.0,1.0,-1.3666666666666667,0.0862,0.08619425371641891,3.9292331150879027,1.308110727672228,0.7308469330729095,Inf,0.970828236158246,-0.34880312565786814
