n,beta,alpha,A,g_lo,g_hi,nagumo_margin,guaranteed,predicted_layer_width,escaped_S,max_dev
3,250.0,0.8,1.5,0.4999524006831667,0.4999524006831667,-0.6165952676914168,false,0.009309110822337669,false,0.16000000000000003
3,250.0,0.8,3.0,0.4999524006831667,0.4999524006831667,-1.366523868716167,false,0.012272211740534469,false,0.16000000000000003
3,1000.0,0.8,0.1,0.5,0.5,0.08333333333333333,true,0.0,false,0.16000000000000003
3,1000.0,0.8,0.2,0.5,0.5,0.033333333333333326,true,-0.0006931471805599449,false,0.16000000000000003
3,1000.0,0.8,0.25,0.5,0.5,0.008333333333333331,true,-0.00013353139262452262,false,0.16000000000000003
3,1000.0,0.8,0.3,0.5,0.5,-0.016666666666666663,false,0.0002231435513142094,false,0.16000000000000003
3,1000.0,0.8,0.5,0.5,0.5,-0.11666666666666667,false,0.00101160091167848,false,0.16000000000000003
3,1000.0,0.8,1.0,0.5,0.5,-0.3666666666666667,false,0.0018718021769015914,false,0.16000000000000003
3,1000.0,0.8,1.5,0.5,0.5,-0.6166666666666667,false,0.0023272777055844173,false,0.16000000000000003
3,1000.0,0.8,3.0,0.5,0.5,-1.3666666666666667,false,0.003068052935133617,false,0.16000000000000003
5,2.0,0.8,0.1,1.0,1.0,0.033333333333333326,true,0.0,false,0.16000000000000003
5,2.0,0.8,0.2,1.0,1.0,-0.06666666666666668,false,-0.3465735902799724,true,0.17070276454570854
5,2.0,0.8,0.25,1.0,1.0,-0.11666666666666667,false,-0.06676569631226131,true,0.1888349395510842
5,2.0,0.8,0.3,1.0,1.0,-0.16666666666666666,false,0.1115717756571047,true,0.2072880202354077
5,2.0,0.8,0.5,1.0,1.0,-0.3666666666666667,false,0.5058004558392399,true,0.28225829234357847
5,2.0,0.8,1.0,1.0,1.0,-0.8666666666666667,false,0.9359010884507957,true,0.47154073811058306
5,2.0,0.8,1.5,1.0,1.0,-1.3666666666666667,false,1.1636388527922086,true,0.6613207725193266
5,2.0,0.8,3.0,1.0,1.0,-2.8666666666666667,false,1.5340264675668085,true,1.2311433997960963
5,5.0,0.8,0.1,1.0,1.0,0.033333333333333326,true,0.0,false,0.16000000000000003
5,5.0,0.8,0.2,1.0,1.0,-0.06666666666666668,false,-0.13862943611198897,true,0.17070276454570854
5,5.0,0.8,0.25,1.0,1.0,-0.11666666666666667,false,-0.026706278524904526,true,0.1888349395510842
5,5.0,0.8,0.3,1.0,1.0,-0.16666666666666666,false,0.04462871026284188,true,0.2072880202354077
5,5.0,0.8,0.5,1.0,1.0,-0.3666666666666667,false,0.20232018233569599,true,0.28225829234357847
5,5.0,0.8,1.0,1.0,1.0,-0.8666666666666667,false,0.37436043538031827,true,0.47154073811058306
5,5.0,0.8,1.5,1.0,1.0,-1.3666666666666667,false,0.4654555411168834,true,0.6613207725193266
5,5.0,0.8,3.0,1.0,1.0,-2.8666666666666667,false,0.6136105870267234,true,1.2311433997960963
5,10.0,0.8,0.1,1.0,1.0,0.033333333333333326,true,0.0,false,0.16000000000000003
