n,dx,rho,I_left,I_mid,E_left,E_mid,n_intervals,intervals_hit,hit_fraction,nodes_in_K,nodes_expected,interval_width,peak
8,0.0003,1.9683,0.9457066406249999,1.0533480468749998,0.05429335937500013,0.05334804687499983,256,137,0.53515625,137,130.06147436874454,0.00015241579027587258,25.62890625
8,0.0001,0.6561,0.97902421875,1.0149046875,0.020975781249999992,0.014904687500000069,256,256,1.0,396,390.18442310623357,0.00015241579027587258,25.62890625
8,3.0e-5,0.19683,0.9972207421875,0.9987584765625,0.002779257812499991,0.0012415234374999473,256,256,1.0,1299,1300.6147436874453,0.00015241579027587258,25.62890625
8,1.0e-5,0.06561,0.9985021875000001,0.9995273437500001,0.0014978124999999176,0.0004726562499999254,256,256,1.0,3900,3901.844231062336,0.00015241579027587258,25.62890625
9,0.01,196.83,2.3066015625,3.07546875,1.3066015625,2.07546875,512,8,0.015625,8,2.6012294873748907,5.080526342529086e-5,38.443359375
9,0.003,59.049,1.84528125,0.69198046875,0.84528125,0.30801953125000003,512,6,0.01171875,6,8.670764957916303,5.080526342529086e-5,38.443359375
9,0.001,19.683,1.61462109375,0.61509375,0.6146210937500001,0.38490625,512,16,0.03125,16,26.012294873748907,5.080526342529086e-5,38.443359375
9,0.0003,5.9049,0.9226406249999999,1.0841027343749998,0.07735937500000012,0.08410273437499982,512,94,0.18359375,94,86.70764957916303,5.080526342529086e-5,38.443359375
9,0.0001,1.9683000000000002,0.9457066406250001,1.053348046875,0.054293359374999905,0.053348046875000055,512,274,0.53515625,274,260.1229487374891,5.080526342529086e-5,38.443359375
9,3.0e-5,0.5904900000000001,0.99299197265625,0.996451875,0.007008027343749945,0.003548125000000013,512,512,1.0,864,867.0764957916302,5.080526342529086e-5,38.443359375
9,1.0e-5,0.19683,0.9972207421875001,0.9987584765625,0.00277925781249988,0.0012415234374999473,512,512,1.0,2598,2601.2294873748906,5.080526342529086e-5,38.443359375
10,0.01,590.49,3.45990234375,4.613203125,2.45990234375,3.613203125,1024,8,0.0078125,8,1.7341529915832605,1.6935087808430286e-5,57.6650390625
10,0.003,177.147,2.2489365234375,0.8649755859375,1.2489365234375,0.1350244140625,1024,5,0.0048828125,5,5.780509971944202,1.6935087808430286e-5,57.6650390625
10,0.001,59.049,1.84528125,0.69198046875,0.84528125,0.30801953125000003,1024,12,0.01171875,12,17.341529915832606,1.6935087808430286e-5,57.6650390625
10,0.0003,17.714699999999997,0.8995746093749999,1.1590672851562498,0.10042539062500011,0.1590672851562498,1024,67,0.0654296875,67,57.805099719442026,1.6935087808430286e-5,57.6650390625
10,0.0001,5.9049000000000005,0.922640625,1.084102734375,0.07735937500000001,0.08410273437500004,1024,188,0.18359375,188,173.41529915832604,1.6935087808430286e-5,57.6650390625
10,3.0e-5,1.77147,0.9895320703125,0.99299197265625,0.010467929687499988,0.007008027343749945,1024,574,0.560546875,574,578.0509971944201,1.6935087808430286e-5,57.6650390625
10,1.0e-5,0.5904900000000001,0.99299197265625,0.9964518750000001,0.007008027343749945,0.003548124999999902,1024,1024,1.0,1728,1734.1529915832605,1.6935087808430286e-5,57.6650390625
11,0.01,1771.47,5.189853515625,6.9198046875,4.189853515625,5.9198046875,2048,8,0.00390625,8,1.1561019943888402,5.645029269476762e-6,86.49755859375
11,0.003,531.441,2.5949267578125,1.037970703125,1.5949267578125,0.03797070312500006,2048,4,0.001953125,4,3.853673314629467,5.645029269476762e-6,86.49755859375
11,0.001,177.147,2.2489365234375,0.8649755859375,1.2489365234375,0.1350244140625,2048,10,0.0048828125,10,11.561019943888402,5.645029269476762e-6,86.49755859375
11,0.0003,53.144099999999995,0.8303765624999999,1.24556484375,0.16962343750000008,0.24556484374999998,2048,48,0.0234375,48,38.53673314629468,5.645029269476762e-6,86.49755859375
11,0.0001,17.7147,0.899574609375,1.15906728515625,0.100425390625,0.15906728515625002,2048,134,0.0654296875,134,115.61019943888401,5.645029269476762e-6,86.49755859375
11,3.0e-5,5.3144100000000005,0.970502607421875,0.9860721679687501,0.029497392578125003,0.01392783203124992,2048,380,0.185546875,380,385.3673314629467,5.645029269476762e-6,86.49755859375
