model,kind,h0,R_safe_rk4,R_safe_adaptive,abs_diff,adaptive_ok
neural_smooth_b10,ou_noise,0.2,0.9971249999999999,0.9971249999999999,0.0,true
neural_smooth_b10,ou_noise,0.72,0.998375,0.998375,0.0,true
neural_smooth_b10,pw_random,0.2,0.9971249999999999,0.9971249999999999,0.0,true
neural_smooth_b10,pw_random,0.72,0.998375,0.998375,0.0,true
neural_smooth_b10,amp_extrap,0.2,0.7905,0.7905,0.0,true
neural_smooth_b10,amp_extrap,0.72,0.8029999999999999,0.8029999999999999,0.0,true
neural_smooth_b10,freq_extrap,0.2,0.9963750000000001,0.9963750000000001,0.0,true
neural_smooth_b10,freq_extrap,0.72,0.998875,0.998875,0.0,true
neural_smooth_b50,sinusoid,0.2,0.991625,0.991625,0.0,true
neural_smooth_b50,sinusoid,0.72,0.996875,0.996875,0.0,true
neural_smooth_b50,sinusoid,0.2,0.9878750000000001,0.9878750000000001,0.0,true
neural_smooth_b50,sinusoid,0.72,0.9971249999999999,0.9971249999999999,0.0,true
neural_smooth_b50,sinusoid,0.2,0.9948750000000001,0.9948750000000001,0.0,true
neural_smooth_b50,sinusoid,0.72,0.989625,0.989625,0.0,true
neural_smooth_b50,sinusoid,0.2,0.9958750000000001,0.9958750000000001,0.0,true
neural_smooth_b50,sinusoid,0.72,0.987125,0.987125,0.0,true
neural_smooth_b50,square,0.2,0.982625,0.982625,0.0,true
neural_smooth_b50,square,0.72,0.997625,0.997625,0.0,true
neural_smooth_b50,chirp,0.2,0.993375,0.993375,0.0,true
neural_smooth_b50,chirp,0.72,0.995125,0.995125,0.0,true
neural_smooth_b50,multifreq,0.2,0.990375,0.990375,0.0,true
neural_smooth_b50,multifreq,0.72,0.9958750000000001,0.9958750000000001,0.0,true
neural_smooth_b50,impulse,0.2,0.993375,0.993375,0.0,true
neural_smooth_b50,impulse,0.72,0.995125,0.995125,0.0,true
neural_smooth_b50,ou_noise,0.2,0.993375,0.993375,0.0,true
neural_smooth_b50,ou_noise,0.72,0.9953749999999999,0.9953749999999999,0.0,true
neural_smooth_b50,pw_random,0.2,0.993125,0.993125,0.0,true
neural_smooth_b50,pw_random,0.72,0.9953749999999999,0.9953749999999999,0.0,true
neural_smooth_b50,amp_extrap,0.2,0.979875,0.979875,0.0,true
neural_smooth_b50,amp_extrap,0.72,0.998875,0.998875,0.0,true
neural_smooth_b50,freq_extrap,0.2,0.9928750000000001,0.9928750000000001,0.0,true
neural_smooth_b50,freq_extrap,0.72,0.9973750000000001,0.9973750000000001,0.0,true
