rho,lam,eps,eps_cert,is_cantor,n_interior,dz_error,direct_switch,guard_capture,outside_capture
0.36,1.25,0.12457418860679267,0.09965935088543414,False,10,2.4586915969848633e-07,2,8,0
0.36,1.5,0.1494890263281512,0.09965935088543414,False,10,3.427267074584961e-07,2,8,0
0.36,2.0,0.19931870177086827,0.09965935088543414,False,10,2.980232238769531e-07,3,7,0
0.4,0.0,0.0,0.08788302547216413,False,11,0.0,0,0,0
0.4,0.25,0.021970756368041033,0.08788302547216413,False,11,2.3096799850463867e-07,0,1,0
0.4,0.5,0.043941512736082065,0.08788302547216413,False,11,2.5331974029541016e-07,0,2,0
0.4,0.75,0.0659122691041231,0.08788302547216413,False,11,2.60770320892334e-07,0,6,0
0.4,0.9,0.07909472292494772,0.08788302547216413,False,11,2.5331974029541016e-07,0,7,0
0.4,0.99,0.08700419521744249,0.08788302547216413,False,11,2.4586915969848633e-07,0,8,0
0.4,1.01,0.08876185572688577,0.08788302547216413,False,11,2.905726432800293e-07,0,9,0
0.4,1.1,0.09667132801938055,0.08788302547216413,False,11,2.8312206268310547e-07,0,9,0
0.4,1.25,0.10985378184020517,0.08788302547216413,False,11,2.7567148208618164e-07,0,10,0
0.4,1.5,0.1318245382082462,0.08788302547216413,False,11,2.8312206268310547e-07,1,10,0
0.4,2.0,0.17576605094432826,0.08788302547216413,False,11,2.980232238769531e-07,5,6,0
0.44,0.0,0.0,0.06380307649279116,False,20,0.0,0,0,0
0.44,0.25,0.01595076912319779,0.06380307649279116,False,20,2.086162567138672e-07,0,2,0
0.44,0.5,0.03190153824639558,0.06380307649279116,False,20,2.980232238769531e-07,0,2,0
0.44,0.75,0.047852307369593367,0.06380307649279116,False,20,2.682209014892578e-07,0,3,0
0.44,0.9,0.057422768843512044,0.06380307649279116,False,20,3.688037395477295e-07,0,6,0
0.44,0.99,0.06316504572786324,0.06380307649279116,False,20,3.3527612686157227e-07,0,6,0
0.44,1.01,0.06444110725771907,0.06380307649279116,False,20,2.60770320892334e-07,0,6,0
0.44,1.1,0.07018338414207027,0.06380307649279116,False,20,3.427267074584961e-07,1,5,0
0.44,1.25,0.07975384561598894,0.06380307649279116,False,20,4.470348358154297e-07,2,5,0
0.44,1.5,0.09570461473918673,0.06380307649279116,False,20,2.980232238769531e-07,2,8,0
0.44,2.0,0.1276061529855823,0.06380307649279116,False,20,2.384185791015625e-07,3,9,0
