pid,d_clean,x_risk,inside_calibrated_window
4216054fc8407005,2.4086961711626214,0.0,True
ae59d24296ebed39,2.050824124071727,0.0,True
667456df8f49cad2,2.005838630311233,0.0,True
007d17d923d4df08,-0.8983324623241339,0.8983324623241339,False
c84cf9806a554d6c,2.7041397818560267,0.0,True
13ede65b73260c6c,2.434243111392211,0.0,True
3b75191eb91c3d17,1.6672031592330483,0.0,True
3863168a182fce70,1.033409162501012,0.0,True
b425f80b5b6e93d4,-0.3655706948810924,0.3655706948810924,True
e124648efa9a3d22,2.3056112919989147,0.0,True
0ec1d2ebd2b8a928,1.4454676892425484,0.0,True
f8a2cdfc27d63dd2,1.462601431118151,0.0,True
565634ad72a3aa52,2.0193993386452056,0.0,True
e2e7254ede195739,1.991994482667113,0.0,True
fcfabe3142b772ab,0.7859874664809501,0.0,True
2ab1bc3c6e422a33,2.6173217419870456,0.0,True
294f4487427a6dd7,0.09832056897029152,0.0,True
56c3c7429cda4f12,0.9042402363453713,0.0,True
8d790f28a0388ee9,1.5251084249019402,0.0,True
cec6cb51e5de3a28,0.6371056972321095,0.0,True
4fd36eed99d29fa9,1.024890143756363,0.0,True
a7d64ba733886a1d,1.5348571155296438,0.0,True
e1e2e923a1125512,0.4987657907405528,0.0,True
d7e282cde8ba14e7,0.4836176852622597,0.0,True
9e35869879038d1a,1.7843644819791022,0.0,True
00d6c5b760d8378f,1.3719735940588094,0.0,True
a17cb31141a143d4,1.595065046809273,0.0,True
7c49e9d795d9f31c,1.5796557887476936,0.0,True
5291af721e960d6a,0.4632241412871368,0.0,True
3b78ca8ab5c95e1e,2.0422050978952755,0.0,True
407e17db341d4312,1.4901288348947341,0.0,True
61fee3c285a8e121,2.068009801595304,0.0,True
2288bce111098187,-0.7048595458625502,0.7048595458625502,False
93e9ef2983f0e4ec,0.35046811732244915,0.0,True
feb8125e258ee9af,0.5059867529804466,0.0,True
6c5a67c3e5e329e8,2.6153781438445547,0.0,True
d7b4b2d795fe2c33,2.4073641386520777,0.0,True
f08453fa2aa23b80,1.9473286243393042,0.0,True
b68cc815d1c9f85d,1.148698865562166,0.0,True
dc60a9be45eba8ff,1.3422745937310496,0.0,True
ef730d094547d913,0.5504854851661763,0.0,True
ac48a3f106b16ffe,1.7115547843927053,0.0,True
5475ba15372153e9,1.979587256269986,0.0,True
26c973f46bb4f39b,1.37576763124935,0.0,True
