rho,depth,attack,eps,pid,safe,eta,C_mean,C_rms,C95,C_max,m_mean,m_std,m_min
0.25,3,authority_test,0.0,c0b0a6fd8196e526,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,c0da6f9a810ac96e,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,c4e140c6b10a0649,0.0080971659919028,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,ceab4fde9bc557e9,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,cfd0baecd1304030,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,d437bb99475d3d83,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,df593c445aa37cdd,0.008403361344537785,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,e0cbaf79c0d6e3eb,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,e3664a91fc92d1d6,0.0091324200913242,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,e55575bab6cd051d,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,eac6ec2b274f3fe8,0.008583690987124415,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,eb5cda6e1fe9f6b5,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,ecbc64034f374904,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,f16d6af3f8b8b330,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,f2e24c35c5249c8b,0.008620689655172376,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,2.0,018ccdd70b67d50b,0.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
0.25,3,authority_test,2.0,0545ede9161cd87b,1.0,0.24509626488230085,0.014312170766009076,0.017603568961935146,0.02813599083974206,0.05000000201529846,-3.497782366616385,4.146608080182757,-27.848560333251953
