pid,family,epsilon,d_attacked,risk_eligible,arm,action,q_raw,q_ctrl,clipped
b37804d090f0d8b5,ATTACK_V,0.0,1.7839949720968298,False,LINEAR,0.0,0.0,0.0,False
1e0ead3f979a4789,ATTACK_V,0.0,-0.2790758098956978,True,LINEAR,0.20329824469509858,0.008327667294809903,0.008327667294809903,False
bfbf247b2ad493b2,ATTACK_V,0.0,-0.2103982338750233,True,LINEAR,0.15326871809393777,0.006278317320951749,0.006278317320951749,False
f1558023902cd327,ATTACK_V,0.0,2.1140218820926986,False,LINEAR,0.0,0.0,0.0,False
4f5d7c1bd2fe6b80,ATTACK_V,0.0,1.877523305945238,False,LINEAR,0.0,0.0,0.0,False
0e3ee686e47638fa,ATTACK_V,0.0,1.538806428460928,False,LINEAR,0.0,0.0,0.0,False
be618245b335513d,ATTACK_V,0.0,2.2265229714024777,False,LINEAR,0.0,0.0,0.0,False
f6912f2906259a68,ATTACK_V,0.0,1.4304507405139737,False,LINEAR,0.0,0.0,0.0,False
d75475a175ef31e9,ATTACK_V,0.0,2.6460425904054943,False,LINEAR,0.0,0.0,0.0,False
9a826d8d143f394a,ATTACK_V,0.0,0.1388276363401813,False,LINEAR,0.0,0.0,0.0,False
2fea382ed5d7a63c,ATTACK_V,0.0,1.841505823644976,False,LINEAR,0.0,0.0,0.0,False
bd90dcd161de5462,ATTACK_V,0.0,1.2654296533745095,False,LINEAR,0.0,0.0,0.0,False
d6246c2a0a9bcc6d,ATTACK_V,0.0,2.45821605588431,False,LINEAR,0.0,0.0,0.0,False
fbf4f4466ece77b6,ATTACK_V,0.0,1.6911713438781026,False,LINEAR,0.0,0.0,0.0,False
d3179f87b6189732,ATTACK_V,0.0,-0.1885281997727653,True,LINEAR,0.1373370630140055,0.0056257119668803235,0.0056257119668803235,False
bc4abd15cfe7f406,ATTACK_V,0.0,0.458690140792768,False,LINEAR,0.0,0.0,0.0,False
acb2ba2331092d2f,ATTACK_V,0.0,1.84359148005129,False,LINEAR,0.0,0.0,0.0,False
4a2576ebbd65ed11,ATTACK_V,0.0,1.1752380547732146,False,LINEAR,0.0,0.0,0.0,False
f9e5a40b1dcb95e1,ATTACK_V,0.0,-0.6422167331552447,True,LINEAR,0.46783536922486413,0.01916385116601622,0.01916385116601622,False
92c72cca0c26c7b0,ATTACK_V,0.0,1.924364979393166,False,LINEAR,0.0,0.0,0.0,False
afda7bae39eb8e74,ATTACK_V,0.0,2.8259409667134308,False,LINEAR,0.0,0.0,0.0,False
2be2d8a6524d4e95,ATTACK_V,0.0,-1.0229034893439826,True,LINEAR,0.745154099718798,0.030523605529051378,0.030523605529051378,False
00299769c3350f67,ATTACK_V,0.0,1.5806395458341267,False,LINEAR,0.0,0.0,0.0,False
5073c46fe5b4f7f5,ATTACK_V,0.0,2.0609168932787005,False,LINEAR,0.0,0.0,0.0,False
56c979852c841d14,ATTACK_V,0.0,0.6082549859822755,False,LINEAR,0.0,0.0,0.0,False
c32c79b88d316b8f,ATTACK_V,0.0,2.280633996307836,False,LINEAR,0.0,0.0,0.0,False
fd28ebe017d3c31e,ATTACK_V,0.0,0.933536495166968,False,LINEAR,0.0,0.0,0.0,False
c0d92c72d4bd1fbc,ATTACK_V,0.0,1.8454033315749288,False,LINEAR,0.0,0.0,0.0,False
071fc0c529290e68,ATTACK_V,0.0,2.673651858836546,False,LINEAR,0.0,0.0,0.0,False
065bb785faca2fc6,ATTACK_V,0.0,0.7341171035697522,False,LINEAR,0.0,0.0,0.0,False
329bdca8e698833b,ATTACK_V,0.0,-0.2562939995086385,True,LINEAR,0.18670238830612418,0.007647854388962634,0.007647854388962634,False
c82cf581adf530f2,ATTACK_V,0.0,2.6760895674685874,False,LINEAR,0.0,0.0,0.0,False
654f12e8302522d4,ATTACK_V,0.0,-0.5440045919242514,True,LINEAR,0.39629080960333934,0.016233184990440956,0.016233184990440956,False
1cf34dd5e974281d,ATTACK_V,0.0,-0.3968617914015194,True,LINEAR,0.2891017519885912,0.011842420029343615,0.011842420029343615,False
04487f7b09f2ccf0,ATTACK_V,0.0,1.988026233782696,False,LINEAR,0.0,0.0,0.0,False
1ae5c189bcc54586,ATTACK_V,0.0,2.68564869349533,False,LINEAR,0.0,0.0,0.0,False
618082a45379d1f7,ATTACK_V,0.0,2.0664057154498963,False,LINEAR,0.0,0.0,0.0,False
510af02ef4ec66f9,ATTACK_V,0.0,0.060062916401012,False,LINEAR,0.0,0.0,0.0,False
65ec1c1ef0a1459b,ATTACK_V,0.0,-0.6374029837907367,True,LINEAR,0.4643286991319872,0.019020208106579402,0.019020208106579402,False
1355c34df2a89478,ATTACK_V,0.0,1.40270405446602,False,LINEAR,0.0,0.0,0.0,False
387398b881e57c47,ATTACK_V,0.0,0.7000888612915211,False,LINEAR,0.0,0.0,0.0,False
70bd00587f9fd897,ATTACK_V,0.0,0.6205192617984963,False,LINEAR,0.0,0.0,0.0,False
4755e111544bce6e,ATTACK_V,0.0,0.0706305177688444,False,LINEAR,0.0,0.0,0.0,False
0825d5421907d0b6,ATTACK_V,0.0,1.6390494823458202,False,LINEAR,0.0,0.0,0.0,False
41db2ac391c7f8b8,ATTACK_V,0.0,1.467845698457558,False,LINEAR,0.0,0.0,0.0,False
77736b287617640d,ATTACK_V,0.0,1.8326185564800528,False,LINEAR,0.0,0.0,0.0,False
2374dba23ed4b2db,ATTACK_V,0.0,0.0811566443649193,False,LINEAR,0.0,0.0,0.0,False
93e4b32f7355cd02,ATTACK_V,0.0,2.552063409664574,False,LINEAR,0.0,0.0,0.0,False
8d2d07c9c3ba7fc9,ATTACK_V,0.0,1.6591042219846384,False,LINEAR,0.0,0.0,0.0,False
1975744946fdf6c5,ATTACK_V,0.0,1.472331497312955,False,LINEAR,0.0,0.0,0.0,False
bb6eda0b2a6bc572,ATTACK_V,0.0,0.3817806155477347,False,LINEAR,0.0,0.0,0.0,False
093cc118cfe99487,ATTACK_V,0.0,0.8437465714852829,False,LINEAR,0.0,0.0,0.0,False
f82d0bccb7c81549,ATTACK_V,0.0,2.5510830145825034,False,LINEAR,0.0,0.0,0.0,False
c9baf989dd1a0ca8,ATTACK_V,0.0,1.053498314317063,False,LINEAR,0.0,0.0,0.0,False
837431d2762743b0,ATTACK_V,0.0,2.1403509622127164,False,LINEAR,0.0,0.0,0.0,False
e42f544685c0b9c1,ATTACK_V,0.0,-0.1543389323697522,True,LINEAR,0.11243122093101862,0.004605498699051797,0.004605498699051797,False
fe20e5c53341b7c7,ATTACK_V,0.0,-0.2225831244876498,True,LINEAR,0.16214504053218337,0.006641916427171417,0.006641916427171417,False
3946fb8d13353591,ATTACK_V,0.0,1.5406101601949618,False,LINEAR,0.0,0.0,0.0,False
9cb9c9925c5c0201,ATTACK_V,0.0,1.137225999166994,False,LINEAR,0.0,0.0,0.0,False
e8752fd5a78ad7c1,ATTACK_V,0.0,0.2228560294574037,False,LINEAR,0.0,0.0,0.0,False
6578408fb1b51507,ATTACK_V,0.0,0.529190241160605,False,LINEAR,0.0,0.0,0.0,False
a6086d1fbfeb9d9a,ATTACK_V,0.0,0.7881587216489855,False,LINEAR,0.0,0.0,0.0,False
08cc0dfa68bb1d51,ATTACK_V,0.0,0.7295063718186349,False,LINEAR,0.0,0.0,0.0,False
b25e6f16edc38808,ATTACK_V,0.0,0.7277744275312396,False,LINEAR,0.0,0.0,0.0,False
472a94219db0fd54,ATTACK_V,0.0,1.5241591084752708,False,LINEAR,0.0,0.0,0.0,False
1ef057a1c416da19,ATTACK_V,0.0,-0.9539482031935906,True,LINEAR,0.6949222697294406,0.028465968640015767,0.028465968640015767,False
920491b609a315de,ATTACK_V,0.0,1.3343953002051654,False,LINEAR,0.0,0.0,0.0,False
6275234d50ac15d8,ATTACK_V,0.0,0.4310234412043429,False,LINEAR,0.0,0.0,0.0,False
