rho_key,pid,auc
0.28,616497b1f3d9e390,1.0000000000000002
0.28,d6225d41b2483d8c,1.0000000000000002
0.28,be8e50b157907083,1.0000000000000002
0.28,d0c9fd9d0a440f8a,1.0000000000000002
0.28,a09f19e3c98abbe0,1.0000000000000002
0.28,c2a8a445f4fd9bc7,0.37414187591408554
0.28,18288c2a27d85724,1.0000000000000002
0.28,914a129664cc7061,1.0000000000000002
0.28,55952de3dc31c800,1.0000000000000002
0.28,6e267684a880d520,1.0000000000000002
0.28,0e21a3bfdb2b6e1a,0.6247139586380285
0.28,4567675a4a0b2cbb,1.0000000000000002
0.28,1fa1d530d2fca75c,1.0000000000000002
0.28,d5ca65ec83721eb1,0.0
0.28,01b698d7d745c7d5,0.0
0.28,544d8e2b40db7763,0.0
0.28,0791adad84120250,1.0000000000000002
0.28,8c829a98a2582094,0.0
0.28,9f8e0985fdd0f0af,0.08981693415146452
0.28,f96745e23ea3a71f,0.0
0.28,389e575ba0a40e9c,1.0000000000000002
0.28,12b94fbf341b142c,1.0000000000000002
0.28,c991e971333e6ae8,0.0
0.28,5f3a094bffed4a07,0.0
0.28,62ab5aef9ad1be4d,0.7494279172760571
0.28,e7865558d29e683e,0.37414187591408554
0.28,b664a205e95da3e4,0.0
0.28,85e833f2e69c8eb2,1.0000000000000002
0.28,a4c0a3c16677eb27,0.7494279172760571
0.28,da56cb67614dc613,1.0000000000000002
0.28,d7edd5c1052bba91,0.0
0.28,c137f0841de67c0b,1.0000000000000002
0.28,df67f8095d258f61,0.0
0.28,7f4060b2ba96d137,1.0000000000000002
0.28,69ba82dc73981083,1.0000000000000002
0.28,d16b07da6ce739b7,1.0000000000000002
0.28,508d5823601e198a,0.0
0.28,39dec1f52b1e93cd,1.0000000000000002
0.28,16a994f1d87e6471,1.0000000000000002
0.28,61a09f4454295c91,0.0
0.28,d7c4f52710f1fc65,0.0
0.28,2e462c3d5a15b7bd,0.25057208272394293
0.28,9068b1ccc3a9399c,0.0
0.28,76a42b5655d4a0be,0.0
0.28,582a592bfbddc0ff,0.0
0.28,765d10d4d2c416cd,1.0000000000000002
0.28,da210f0559bbe8dc,1.0000000000000002
0.28,f7e7afd2deb197b0,1.0000000000000002
0.28,9437423b8ad03824,0.0
0.28,ae67d22cdaa0794f,1.0000000000000002
0.28,eaaa21fa1b9e4a69,0.0
0.28,6da6c3252a2d1bac,0.7494279172760571
0.28,68fb881d1cac53fe,1.0000000000000002
0.28,225b57fd63404097,0.0
0.28,0f73df0c247d6c68,1.0000000000000002
0.28,c017f16f403ea16d,1.0000000000000002
0.28,7c13f523be7d6736,0.7494279172760571
0.28,25a0c52eca8fcb4a,1.0000000000000002
0.28,2d7b739387263a9d,1.0000000000000002
0.28,efe4359f1e0a0903,0.7494279172760571
0.28,4e88b51c93844ead,1.0000000000000002
0.28,725496d45b624240,1.0000000000000002
0.28,549e8c9f3eaa6483,0.0
0.28,237c8fee04658ce1,1.0000000000000002
0.28,81c2cbf1193bc1dc,1.0000000000000002
0.28,1e4f10d1d4c41691,1.0000000000000002
0.28,ab617f83f2f06fe8,1.0000000000000002
0.28,dc68cc6407abf8a1,0.0
0.28,d8d1c90ecab8db93,1.0000000000000002
0.28,fb876ee81650ff9d,1.0000000000000002
0.28,9ac7077facf41f79,1.0000000000000002
0.28,b0f704b34bba4d32,1.0000000000000002
0.28,eff9044acf7f4c30,1.0000000000000002
0.28,7382aa30d498e7b5,1.0000000000000002
0.30,1858440f8e41ea5f,1.0000000000000002
0.30,f84c728e4976c582,0.0
0.30,4770519fdde88795,1.0000000000000002
0.30,b8e9774ab01e9d45,0.08981693415146452
0.30,5c01d917bc95b0a1,0.0
0.30,7b9de626357f28c6,1.0000000000000002
0.30,616497b1f3d9e390,1.0000000000000002
0.30,d6225d41b2483d8c,1.0000000000000002
0.30,be8e50b157907083,1.0000000000000002
0.30,d0c9fd9d0a440f8a,1.0000000000000002
0.30,a09f19e3c98abbe0,1.0000000000000002
0.30,c2a8a445f4fd9bc7,0.37414187591408554
0.30,18288c2a27d85724,1.0000000000000002
0.30,914a129664cc7061,1.0000000000000002
0.30,55952de3dc31c800,1.0000000000000002
0.30,6e267684a880d520,1.0000000000000002
0.30,0e21a3bfdb2b6e1a,0.6247139586380285
0.30,4567675a4a0b2cbb,1.0000000000000002
0.30,1fa1d530d2fca75c,1.0000000000000002
0.30,d5ca65ec83721eb1,0.0
0.30,01b698d7d745c7d5,0.0
0.30,544d8e2b40db7763,0.0
0.30,0791adad84120250,1.0000000000000002
0.30,8c829a98a2582094,0.0
0.30,9f8e0985fdd0f0af,0.08981693415146452
0.30,f96745e23ea3a71f,0.0
0.30,389e575ba0a40e9c,1.0000000000000002
0.30,12b94fbf341b142c,1.0000000000000002
0.30,c991e971333e6ae8,0.0
0.30,5f3a094bffed4a07,0.0
0.30,62ab5aef9ad1be4d,0.7494279172760571
0.30,e7865558d29e683e,0.37414187591408554
0.30,b664a205e95da3e4,0.0
0.30,85e833f2e69c8eb2,1.0000000000000002
0.30,a4c0a3c16677eb27,0.7494279172760571
0.30,da56cb67614dc613,1.0000000000000002
0.30,d7edd5c1052bba91,0.0
0.30,c137f0841de67c0b,1.0000000000000002
0.30,df67f8095d258f61,0.0
0.30,7f4060b2ba96d137,1.0000000000000002
0.30,69ba82dc73981083,1.0000000000000002
0.30,d16b07da6ce739b7,1.0000000000000002
0.30,508d5823601e198a,0.0
0.30,39dec1f52b1e93cd,1.0000000000000002
0.30,16a994f1d87e6471,1.0000000000000002
0.30,61a09f4454295c91,0.0
0.30,d7c4f52710f1fc65,0.0
0.30,2e462c3d5a15b7bd,0.25057208272394293
0.30,9068b1ccc3a9399c,0.0
0.30,76a42b5655d4a0be,0.0
0.30,582a592bfbddc0ff,0.0
0.30,765d10d4d2c416cd,1.0000000000000002
0.30,da210f0559bbe8dc,1.0000000000000002
0.30,f7e7afd2deb197b0,1.0000000000000002
0.30,9437423b8ad03824,0.0
0.30,ae67d22cdaa0794f,1.0000000000000002
0.30,eaaa21fa1b9e4a69,0.0
0.30,6da6c3252a2d1bac,0.7494279172760571
0.30,68fb881d1cac53fe,1.0000000000000002
0.30,225b57fd63404097,0.0
0.30,0f73df0c247d6c68,1.0000000000000002
0.30,c017f16f403ea16d,1.0000000000000002
