family,seed,R_worst,eta,selfsim,max_weak_run,mean_nn,discrepancy,entropy,max_gap_span
L6_shuffled,14,0.52125,0.2738419634264361,0.14128269415223005,0.34979423868312753,0.02125329523647276,0.1800743395725471,1.2427477304569319,0.004115226337449318
L7_center_anchored,14,0.41625,0.24582440689201968,0.2163756443985505,0.34979423868312753,0.02168883905598957,0.20808442851453626,1.2427477304569319,0.00411522633744954
L6_shuffled,15,0.4275,0.25254789325773785,0.07803302205496898,0.465020576131687,0.02586746847842796,0.31999203504579815,1.2427477304569319,0.00411522633744954
L7_center_anchored,15,0.52125,0.2738419634264361,0.20094599084370346,0.34979423868312753,0.02212107205339322,0.20118146820655725,1.2427477304569319,0.004115226337449318
L6_shuffled,16,0.52125,0.2738419634264361,0.16325944777468948,0.3497942386831274,0.022723267643202177,0.16786140979689423,1.2427477304569319,0.004115226337449318
L7_center_anchored,16,0.52125,0.25254789325773785,0.20981726194474748,0.3497942386831275,0.021299761246505573,0.1608257002522233,1.2427477304569319,0.004115226337449318
L6_shuffled,17,0.52125,0.24582440689201968,0.1905000279521425,0.38477366255144085,0.02944037022428722,0.3278242400106205,1.2427477304569319,0.004115226337449096
L7_center_anchored,17,0.43000000000000005,0.25254789325773785,0.09925829356929639,0.46502057613168735,0.02569378775917171,0.24379397318465415,1.2427477304569319,0.004115226337449096
L6_shuffled,18,0.52125,0.26475950624930056,0.055367610834060055,0.5061728395061726,0.022751564932041442,0.2760520377007829,1.2427477304569319,0.004115226337449318
L7_center_anchored,18,0.52125,0.24582440689201968,0.08589793367761778,0.35390946502057596,0.021625435477197315,0.16082570025222365,1.2427477304569319,0.004115226337449318
L6_shuffled,19,0.4175,0.24582440689201968,0.08992180525616544,0.39094650205761305,0.02313815619918595,0.2617151201380593,1.2427477304569319,0.004115226337449318
L7_center_anchored,19,0.52125,0.24582440689201968,0.09770930483117335,0.345679012345679,0.020893134479078507,0.15671047391477533,1.2427477304569319,0.004115226337449318
L6_shuffled,20,0.43125,0.2594552721404015,0.1783354841986977,0.5061728395061728,0.022823638962084808,0.38742864728527804,1.2427477304569319,0.00411522633744954
L7_center_anchored,20,0.52125,0.2594552721404015,0.16164870336465786,0.38683127572016457,0.023091897359864517,0.17317137926456938,1.2427477304569319,0.004115226337449318
L6_shuffled,21,0.42500000000000004,0.2559782849650951,0.09708829102575167,0.39094650205761305,0.02288744986618982,0.26994557281295656,1.2427477304569319,0.004115226337449096
L7_center_anchored,21,0.52125,0.24582440689201968,0.11978585402585806,0.34979423868312753,0.02203599243906116,0.1608257002522233,1.2427477304569319,0.004115226337449429
L6_shuffled,22,0.52125,0.2594552721404015,0.15015787153862015,0.3868312757201646,0.02259522918915784,0.2590601354042218,1.2427477304569319,0.004115226337449096
L7_center_anchored,22,0.52125,0.24582440689201968,0.14064251885549917,0.3868312757201646,0.023103052769172225,0.17317137926456905,1.2427477304569319,0.004115226337449318
L6_shuffled,23,0.52125,0.25254789325773785,0.14426820065935242,0.3497942386831276,0.021316283198185754,0.22666932165140008,1.2427477304569319,0.004115226337449096
L7_center_anchored,23,0.52125,0.2665515731416115,0.15466720722582838,0.345679012345679,0.0211981567382536,0.208748174697995,1.2427477304569319,0.004115226337449429
L6_shuffled,24,0.52125,0.2594552721404015,0.11346430467126156,0.345679012345679,0.021396827668904623,0.24445771936811375,1.2427477304569319,0.004115226337449096
L7_center_anchored,24,0.52125,0.24582440689201968,0.18057431276532465,0.34979423868312737,0.0216892476158085,0.2197663613434223,1.2427477304569319,0.004115226337449318
L6_shuffled,25,0.5237499999999999,0.27569550637691975,0.20323086475450836,0.39094650205761305,0.02286163730908103,0.2845479888490646,1.2427477304569319,0.004115226337449318
L7_center_anchored,25,0.49250000000000005,0.2594552721404015,0.17864916141047948,0.3539094650205761,0.021668183113478078,0.16082570025222376,1.2427477304569319,0.004115226337449096
L6_shuffled,26,0.52125,0.2594552721404015,0.11552454230900955,0.34567901234567905,0.02106660874775192,0.2281295632550115,1.2427477304569319,0.004115226337449207
L7_center_anchored,26,0.52125,0.2629794876961109,0.13023654966371911,0.3497942386831275,0.021159746909773843,0.17582636399840712,1.2427477304569319,0.004115226337449318
L6_shuffled,27,0.52125,0.2594552721404015,0.1530903878694081,0.345679012345679,0.021566168131922598,0.23171379264569222,1.2427477304569319,0.00411522633744954
L7_center_anchored,27,0.52125,0.2594552721404015,0.12093864952207523,0.38683127572016446,0.022298882031207088,0.21565113500597322,1.2427477304569319,0.004115226337449096
L6_shuffled,28,0.52125,0.27756159532811975,0.1097097176925772,0.345679012345679,0.02141809559727775,0.24857294570556226,1.2427477304569319,0.004115226337449318
L7_center_anchored,28,0.52125,0.2594552721404015,0.09587014135199401,0.3497942386831275,0.02179932184460736,0.1608257002522232,1.2427477304569319,0.004115226337449318
